"","YEAR","STATE","COUNTY","AGE_CATEGORY","fatality_count","county_code"
"1","2010",1,1,5,3,"01001"
"2","2010",1,3,4,4,"01003"
"3","2010",1,3,5,21,"01003"
"4","2010",1,5,5,4,"01005"
"5","2010",1,7,5,7,"01007"
"6","2010",1,9,5,8,"01009"
"7","2010",1,11,1,2,"01011"
"8","2010",1,11,4,1,"01011"
"9","2010",1,11,5,7,"01011"
"10","2010",1,13,4,1,"01013"
"11","2010",1,13,5,5,"01013"
"12","2010",1,15,4,1,"01015"
"13","2010",1,15,5,14,"01015"
"14","2010",1,17,4,1,"01017"
"15","2010",1,17,5,7,"01017"
"16","2010",1,19,5,8,"01019"
"17","2010",1,21,4,1,"01021"
"18","2010",1,21,5,7,"01021"
"19","2010",1,23,2,1,"01023"
"20","2010",1,23,5,5,"01023"
"21","2010",1,25,2,1,"01025"
"22","2010",1,25,5,9,"01025"
"23","2010",1,27,1,1,"01027"
"24","2010",1,27,5,4,"01027"
"25","2010",1,29,5,4,"01029"
"26","2010",1,31,5,7,"01031"
"27","2010",1,33,5,7,"01033"
"28","2010",1,35,5,9,"01035"
"29","2010",1,37,3,1,"01037"
"30","2010",1,37,4,1,"01037"
"31","2010",1,37,5,5,"01037"
"32","2010",1,39,2,1,"01039"
"33","2010",1,39,5,8,"01039"
"34","2010",1,41,5,4,"01041"
"35","2010",1,43,2,2,"01043"
"36","2010",1,43,5,15,"01043"
"37","2010",1,45,1,1,"01045"
"38","2010",1,45,4,3,"01045"
"39","2010",1,45,5,5,"01045"
"40","2010",1,47,5,7,"01047"
"41","2010",1,49,2,1,"01049"
"42","2010",1,49,4,1,"01049"
"43","2010",1,49,5,10,"01049"
"44","2010",1,51,4,1,"01051"
"45","2010",1,51,5,24,"01051"
"46","2010",1,53,2,2,"01053"
"47","2010",1,53,4,1,"01053"
"48","2010",1,53,5,11,"01053"
"49","2010",1,55,4,3,"01055"
"50","2010",1,55,5,11,"01055"
"51","2010",1,57,5,1,"01057"
"52","2010",1,59,5,4,"01059"
"53","2010",1,61,5,7,"01061"
"54","2010",1,63,5,5,"01063"
"55","2010",1,65,5,6,"01065"
"56","2010",1,67,5,4,"01067"
"57","2010",1,69,5,15,"01069"
"58","2010",1,71,4,1,"01071"
"59","2010",1,71,5,14,"01071"
"60","2010",1,73,1,1,"01073"
"61","2010",1,73,3,1,"01073"
"62","2010",1,73,4,13,"01073"
"63","2010",1,73,5,74,"01073"
"64","2010",1,75,5,3,"01075"
"65","2010",1,77,1,1,"01077"
