"","CBSA.Code","YEAR","AGE_CATEGORY","fatality_count","rate"
"1",10100,2010,6,1,0.234631628343501
"2",10100,2011,6,2,0.103124677735382
"3",10100,2012,3,1,0.0666444518493835
"4",10100,2012,6,4,0.133222314737719
"5",10100,2013,4,1,0.0493023714440665
"6",10100,2013,6,1,0.049299940840071
"7",10100,2014,6,6,0.118305860083603
"8",10100,2015,6,7,0.114278251216247
"9",10100,2016,6,2,0.0277654375832963
"10",10100,2017,4,1,0.0242060418280403
"11",10100,2018,6,4,0.0862887220640262
"12",10100,2019,4,1,0.0194469293298588
"13",10100,2019,6,2,0.0388931023083056
"14",10100,2020,6,5,0.0441505002251676
"15",10100,2021,6,3,0.0484511773636099
"16",10100,2022,6,4,0.0297747539860952
"17",10100,2010,4,1,0.233863423760524
"18",10100,2014,4,1,0.0394259580507806
"19",10100,2016,4,1,0.0277608128365999
"20",10100,2017,6,2,0.0484003678427956
"21",10140,2010,2,1,0.191938579654511
"22",10140,2010,6,6,1.15141047783535
"23",10140,2011,6,7,0.658327847267939
"24",10140,2012,6,7,0.437828371278459
"25",10140,2013,5,1,0.0471809389006841
"26",10140,2013,6,6,0.283072277788262
"27",10140,2014,6,4,0.152125960295124
"28",10140,2015,5,1,0.0316505776230416
"29",10140,2015,6,4,0.126598303582732
"30",10140,2016,6,7,0.189429816253078
"31",10140,2017,5,1,0.0236798484489699
"32",10140,2017,6,9,0.213113589543227
"33",10140,2018,6,5,0.105665800207105
"34",10140,2019,5,2,0.0381927204674789
"35",10140,2019,6,9,0.171863960127561
"36",10140,2020,6,6,0.104248110502997
"37",10140,2021,2,1,0.0158977456996598
"38",10140,2021,6,13,0.206667408549672
"39",10140,2022,4,1,0.0146773909469853
"40",10140,2022,6,13,0.190803281816447
"41",10180,2010,1,1,0.21978021978022
"42",10180,2010,6,14,0.989119683481701
"43",10180,2011,5,2,0.0986631147945341
"44",10180,2011,6,15,0.739900360084842
"45",10180,2012,6,37,0.796898556967478
"46",10180,2013,6,38,0.611187956380481
"47",10180,2014,6,32,0.413393964448119
"48",10180,2015,6,35,0.375387453478769
"49",10180,2016,6,26,0.237809953261198
"50",10180,2017,6,29,0.231581301007778
"51",10180,2018,3,4,0.04273686909697
"52",10180,2018,4,1,0.021446341254182
"53",10180,2018,5,2,0.0428917626369856
"54",10180,2018,6,36,0.25639199487216
"55",10180,2019,6,26,0.167070420182107
"56",10180,2020,6,29,0.169399449743856
"57",10180,2021,6,40,0.213769994174768
"58",10180,2021,7,1,0.0160787214200727
"59",10180,2022,6,38,0.187335157386182
"60",10180,2012,3,1,0.0645869663501905
"61",10180,2012,4,1,0.0645827951433738
"62",10180,2015,1,2,0.032082644893245
"63",10180,2015,2,1,0.0321646831778707
"64",10180,2017,1,1,0.0239520958083832
"65",10180,2017,3,1,0.0239515221192307
"66",10180,2020,2,1,0.017521112941094
"67",10180,2020,5,1,0.017520805957074
"68",10180,2021,5,3,0.0240149853508589
"69",10180,2010,4,1,0.205044084478163
"70",10180,2010,5,1,0.2050020500205
"71",10180,2011,3,1,0.0971156647567253
"72",10180,2011,4,1,0.0971062342202369
"73",10180,2012,1,1,0.0638936809149575
"74",10180,2012,5,1,0.0638895987733197
"75",10180,2013,5,1,0.0478652115642351
"76",10180,2014,1,1,0.0385059684251059
"77",10180,2014,4,2,0.077008971545185
"78",10180,2015,3,1,0.031998976032767
"79",10180,2015,4,2,0.0639959042621272
"80",10180,2015,5,1,0.0319969282948837
"81",10180,2016,4,1,0.0273186723125256
"82",10180,2016,5,1,0.0273179260230563
"83",10180,2016,7,1,0.0273164335664336
"84",10180,2017,2,1,0.0238646397632628
"85",10180,2017,4,1,0.0238640702558228
"86",10180,2017,5,1,0.0238635007755638
"87",10180,2018,2,1,0.0212910918071879
"88",10180,2021,4,1,0.0159892552204918
"89",10180,2022,3,1,0.0147496976311986
"90",10220,2010,2,1,0.258531540847983
"91",10220,2010,4,1,0.258464719565779
"92",10220,2010,6,8,2.0671834625323
"93",10220,2011,4,2,0.214569252226156
"94",10220,2011,5,1,0.10727311735679
"95",10220,2011,6,4,0.429046444277593
"96",10220,2012,5,1,0.0683667190811513
"97",10220,2012,6,3,0.205086136177194
"98",10220,2013,1,1,0.0500976904964681
"99",10220,2013,5,1,0.0500951808436028
"100",10220,2013,6,5,0.25046335721084
"101",10220,2014,4,1,0.0399904023034472
"102",10220,2014,5,1,0.0399888031351222
"103",10220,2014,6,7,0.279910428662828
"104",10220,2015,4,1,0.0330480187712747
"105",10220,2015,6,7,0.23132848645076
"106",10220,2016,3,1,0.0280489173117918
"107",10220,2016,6,13,0.364625697697249
"108",10220,2017,5,2,0.0488269329362076
"109",10220,2017,6,7,0.170890093257165
"110",10220,2018,5,1,0.0217325161907246
"111",10220,2018,6,12,0.260784526784744
"112",10220,2019,5,1,0.0195733020160501
"113",10220,2019,6,10,0.19572918909397
"114",10220,2020,6,10,0.17772090708751
"115",10220,2021,4,1,0.0162453700695302
"116",10220,2021,6,7,0.113715743132381
"117",10220,2022,6,5,0.0748234167365019
"118",10300,2010,1,1,0.429000429000429
"119",10300,2010,3,1,0.428816466552316
"120",10300,2010,6,13,5.57222460351479
"121",10300,2011,4,1,0.128700128700129
"122",10300,2011,6,8,1.02946853686784
"123",10300,2012,6,18,1.36944613511869
"124",10300,2013,3,1,0.0541066984092631
"125",10300,2013,4,1,0.054103771032841
"126",10300,2013,6,12,0.649210127677992
"127",10300,2014,4,1,0.0423998304006784
"128",10300,2014,6,9,0.381582294581531
"129",10300,2015,2,2,0.0694540908459508
"130",10300,2015,4,1,0.0347258394971698
"131",10300,2015,6,6,0.20834780193069
"132",10300,2016,5,1,0.0292697204741695
"133",10300,2016,6,15,0.439032956740619
"134",10300,2017,1,1,0.0253170966353579
"135",10300,2017,4,1,0.0253164556962025
"136",10300,2017,5,1,0.025315814789499
"137",10300,2017,6,13,0.329097260898182
"138",10300,2018,5,1,0.0224019355272296
"139",10300,2018,6,5,0.112007168458781
"140",10300,2019,1,1,0.0201272039288302
"141",10300,2019,3,1,0.0201267988326457
"142",10300,2019,6,13,0.261643118785976
"143",10300,2020,6,14,0.255297421496043
"144",10300,2021,4,4,0.0665745718422848
"145",10300,2021,5,1,0.0166433659543306
"146",10300,2021,6,15,0.249646334359657
"147",10300,2022,6,10,0.153026871518639
"148",10380,NA,NA,NA,NA
"149",10420,2010,5,5,0.670331143584931
"150",10420,2010,6,37,4.95912076129205
"151",10420,2011,4,4,0.217971772655441
"152",10420,2011,6,47,2.5607497003378
"153",10420,2012,4,2,0.0689726523433459
"154",10420,2012,6,40,1.37935790889341
"155",10420,2013,5,2,0.050447723546475
"156",10420,2013,6,38,0.958458395338866
"157",10420,2014,5,4,0.0804230251120896
"158",10420,2014,6,36,0.723778121795774
"159",10420,2015,3,2,0.0332010823552848
"160",10420,2015,5,3,0.0497991434547326
"161",10420,2015,6,40,0.663966536086581
"162",10420,2016,2,2,0.0281598918660152
"163",10420,2016,6,47,0.661720190913315
"164",10420,2017,1,1,0.0245031976672956
"165",10420,2017,6,49,0.60012247397428
"166",10420,2018,6,38,0.414029047406326
"167",10420,2019,1,1,0.0196240040817929
"168",10420,2019,6,43,0.421833307173128
"169",10420,2020,3,2,0.0356328392246294
"170",10420,2020,5,4,0.03562585724719
"171",10420,2020,6,60,0.534378339864624
"172",10420,2021,6,60,0.488392537362029
"173",10420,2022,3,2,0.0149954263949495
"174",10420,2022,6,57,0.427356835460121
"175",10420,2010,1,1,0.267451190157796
"176",10420,2010,4,2,0.53475935828877
"177",10420,2011,5,1,0.108825769942322
"178",10420,2013,3,1,0.0504286434694907
"179",10420,2015,4,1,0.033188410607016
"180",10420,2016,4,4,0.112599932440041
"181",10420,2016,5,2,0.0562983814215341
"182",10420,2017,3,2,0.0489775927513163
"183",10420,2017,4,3,0.0734645900675874
"184",10420,2017,5,1,0.0244875970321032
"185",10420,2018,4,1,0.0217864923747277
"186",10420,2018,5,2,0.0435720354676369
"187",10420,2019,4,1,0.0196174595389897
"188",10420,2019,5,2,0.0392341494036409
"189",10420,2020,2,1,0.0178100733775023
"190",10420,2021,4,1,0.0162776312790963
"191",10420,2021,5,4,0.0651094652885163
"192",10420,2022,2,1,0.014993627708224
"193",10420,2022,4,1,0.0149931781039627
"194",10420,2022,5,1,0.0149929533119434
"195",10460,2010,2,1,0.318877551020408
"196",10460,2010,6,10,3.18775900541919
"197",10460,2011,5,1,0.116455106556422
"198",10460,2011,6,13,1.51374010246856
"199",10460,2012,4,1,0.0717669011052103
"200",10460,2012,6,15,1.07642626480086
"201",10460,2013,2,1,0.0518833661927986
"202",10460,2013,6,7,0.363164721141375
"203",10460,2014,5,3,0.123203285420945
"204",10460,2014,6,10,0.410660753151821
