"","X","GEOID","year","AGE_CATEGORY","fatality_count","AGE0_4","AGE5_9","AGE10_14","AGE15_17","AGE18_19","rate","FIPS.State.Code","FIPS.County.Code","CBSA.Code","Metropolitan.Division.Code","CSA.Code","CBSA.Title","Metropolitan.Micropolitan.Statistical.Area","Metropolitan.Division.Title","CSA.Title","County.County.Equivalent","State.Name","Central.Outlying.County","POP_UNDER_18","POP_UNDER_18_CBSA","fat_cbsa_year_age","rate_cbsa_age","fat_cbsa_year","rate_cbsa"
"1",1,1015,2017,4,1,6804,6294,7361,4541,3240,0.220215811495265,1,15,11500,NA,NA,"Anniston-Oxford, AL","Metropolitan Statistical Area","","","Calhoun County","Alabama","Central",28244,28244,1,0.0354057498937827,1,0.0354057498937827
"2",2,1043,2017,3,1,4612,4216,5801,3463,1673,0.172384071711774,1,43,18980,NA,142,"Cullman, AL","Micropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Cullman County","Alabama","Central",19768,19768,1,0.0505868069607446,2,0.101171054961176
"3",3,1043,2017,4,1,4612,4216,5801,3463,1673,0.288766965059197,1,43,18980,NA,142,"Cullman, AL","Micropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Cullman County","Alabama","Central",19769,19769,1,0.0505842480651525,2,0.101171054961176
"4",4,1049,2017,2,1,4192,5525,4729,2794,2374,0.180995475113122,1,49,22840,NA,290,"Fort Payne, AL","Micropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","DeKalb County","Alabama","Central",19616,19616,1,0.050978792822186,2,0.101949789728559
"5",5,1049,2017,5,1,4192,5525,4729,2794,2374,0.4212299915754,1,49,22840,NA,290,"Fort Payne, AL","Micropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","DeKalb County","Alabama","Central",19619,19619,1,0.0509709975024211,2,0.101949789728559
"6",6,1055,2017,4,1,5900,7279,5140,4021,2586,0.24869435463815,1,55,23460,NA,NA,"Gadsden, AL","Metropolitan Statistical Area","","","Etowah County","Alabama","Central",24930,24930,1,0.0401123144805455,3,0.120334529993382
"7",7,1055,2017,5,2,5900,7279,5140,4021,2586,0.773395204949729,1,55,23460,NA,NA,"Gadsden, AL","Metropolitan Statistical Area","","","Etowah County","Alabama","Central",24931,24931,2,0.0802214110946212,3,0.120334529993382
"8",8,1073,2017,1,3,42488,40720,43028,24518,16784,0.0706081717190736,1,73,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Jefferson County","Alabama","Central",167539,188724,4,0.0211949725525105,20,0.108345426890011
"9",9,1073,2017,2,2,42488,40720,43028,24518,16784,0.0491159135559921,1,73,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Jefferson County","Alabama","Central",167540,167540,2,0.011937447773666,20,0.108345426890011
"10",10,1073,2017,4,3,42488,40720,43028,24518,16784,0.122359083122604,1,73,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Jefferson County","Alabama","Central",167542,239238,5,0.0208996898486026,20,0.108345426890011
"11",11,1073,2017,5,4,42488,40720,43028,24518,16784,0.238322211630124,1,73,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Jefferson County","Alabama","Central",167543,188732,8,0.0423881482737427,20,0.108345426890011
"12",12,1083,2017,4,1,5037,6140,5679,4372,1862,0.228728270814273,1,83,26620,NA,290,"Huntsville, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Limestone County","Alabama","Central",23094,112014,2,0.0178549109932687,5,0.0595167241995001
"13",13,1083,2017,5,2,5037,6140,5679,4372,1862,1.07411385606874,1,83,26620,NA,290,"Huntsville, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Limestone County","Alabama","Central",23095,23095,2,0.0865988309157826,5,0.0595167241995001
"14",14,1089,2017,1,1,21315,20289,23867,14035,9410,0.0469153178512784,1,89,26620,NA,290,"Huntsville, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Madison County","Alabama","Central",88917,88917,1,0.0112464433123025,5,0.0595167241995001
"15",15,1089,2017,4,1,21315,20289,23867,14035,9410,0.0712504453152832,1,89,26620,NA,290,"Huntsville, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Madison County","Alabama","Central",88920,112014,2,0.0178549109932687,5,0.0595167241995001
"16",16,1095,2017,5,2,6267,6783,6777,3851,2896,0.69060773480663,1,95,10700,NA,290,"Albertville, AL","Micropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Marshall County","Alabama","Central",26579,26579,2,0.0752473757477708,2,0.0752473757477708
"17",17,1097,2017,1,1,27101,25414,27886,17268,10373,0.0368990074167005,1,97,33660,NA,380,"Mobile, AL","Metropolitan Statistical Area","","Mobile-Daphne-Fairhope, AL","Mobile County","Alabama","Central",108043,108043,1,0.00925557416954361,7,0.0647876699808645
"18",18,1097,2017,3,1,27101,25414,27886,17268,10373,0.0358602883167181,1,97,33660,NA,380,"Mobile, AL","Metropolitan Statistical Area","","Mobile-Daphne-Fairhope, AL","Mobile County","Alabama","Central",108045,108045,1,0.00925540284140867,7,0.0647876699808645
"19",19,1097,2017,4,3,27101,25414,27886,17268,10373,0.173731758165393,1,97,33660,NA,380,"Mobile, AL","Metropolitan Statistical Area","","Mobile-Daphne-Fairhope, AL","Mobile County","Alabama","Central",108046,108046,3,0.0277659515391592,7,0.0647876699808645
"20",20,1097,2017,5,2,27101,25414,27886,17268,10373,0.192808252193194,1,97,33660,NA,380,"Mobile, AL","Metropolitan Statistical Area","","Mobile-Daphne-Fairhope, AL","Mobile County","Alabama","Central",108047,108047,2,0.0185104630392329,7,0.0647876699808645
"21",21,1101,2017,4,1,15055,13981,15386,9026,6817,0.110791048083315,1,101,33860,NA,388,"Montgomery, AL","Metropolitan Statistical Area","","Montgomery-Selma, AL","Montgomery County","Alabama","Central",60269,60269,1,0.0165922779538403,1,0.0165922779538403
"22",22,1103,2017,1,1,7039,7717,7349,4782,3257,0.142065634323057,1,103,19460,NA,290,"Decatur, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Morgan County","Alabama","Central",30145,30145,1,0.0331729971802952,6,0.199024778584934
"23",23,1103,2017,2,1,7039,7717,7349,4782,3257,0.129584035246858,1,103,19460,NA,290,"Decatur, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Morgan County","Alabama","Central",30146,30146,1,0.0331718967690573,6,0.199024778584934
"24",24,1103,2017,4,2,7039,7717,7349,4782,3257,0.41823504809703,1,103,19460,NA,290,"Decatur, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Morgan County","Alabama","Central",30148,30148,2,0.0663393923311662,6,0.199024778584934
"25",25,1103,2017,5,2,7039,7717,7349,4782,3257,0.614062020264047,1,103,19460,NA,290,"Decatur, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL-TN","Morgan County","Alabama","Central",30149,30149,2,0.0663371919466649,6,0.199024778584934
"26",26,1115,2017,1,1,5327,5770,6192,3256,639,0.18772292096865,1,115,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","St. Clair County","Alabama","Central",21185,188724,4,0.0211949725525105,20,0.108345426890011
"27",27,1115,2017,3,1,5327,5770,6192,3256,639,0.161498708010336,1,115,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","St. Clair County","Alabama","Central",21187,21187,1,0.0471987539528956,20,0.108345426890011
"28",28,1115,2017,5,4,5327,5770,6192,3256,639,6.25978090766823,1,115,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","St. Clair County","Alabama","Central",21189,188732,8,0.0423881482737427,20,0.108345426890011
"29",29,1117,2017,4,1,11491,14445,15352,9387,5416,0.10653030787259,1,117,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Shelby County","Alabama","Central",56095,239238,5,0.0208996898486026,20,0.108345426890011
"30",30,1121,2017,1,1,4338,4991,4789,3280,1722,0.230520977408944,1,121,45180,NA,142,"Talladega-Sylacauga, AL","Micropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Talladega County","Alabama","Central",19121,19121,1,0.0522985199518854,5,0.261460693742374
"31",31,1121,2017,4,2,4338,4991,4789,3280,1722,0.609756097560976,1,121,45180,NA,142,"Talladega-Sylacauga, AL","Micropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Talladega County","Alabama","Central",19124,19124,2,0.104580631667015,5,0.261460693742374
"32",32,1121,2017,5,2,4338,4991,4789,3280,1722,1.16144018583043,1,121,45180,NA,142,"Talladega-Sylacauga, AL","Micropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Talladega County","Alabama","Central",19125,19125,2,0.104575163398693,5,0.261460693742374
"33",33,1125,2017,3,1,13058,13144,9695,7664,14358,0.103145951521403,1,125,46220,NA,NA,"Tuscaloosa, AL","Metropolitan Statistical Area","","","Tuscaloosa County","Alabama","Central",57922,57922,1,0.0172645972169469,5,0.0863214957788788
"34",34,1125,2017,5,4,13058,13144,9695,7664,14358,0.278590332915448,1,125,46220,NA,NA,"Tuscaloosa, AL","Metropolitan Statistical Area","","","Tuscaloosa County","Alabama","Central",57924,57924,4,0.0690560044195843,5,0.0863214957788788
"35",35,1127,2017,4,1,3754,4154,3410,2736,1543,0.365497076023392,1,127,13820,NA,142,"Birmingham, AL","Metropolitan Statistical Area","","Birmingham-Cullman-Talladega, AL","Walker County","Alabama","Outlying",15601,239238,5,0.0208996898486026,20,0.108345426890011
"36",36,2020,2017,4,1,21557,21575,18192,10718,7905,0.0933009889904833,2,20,11260,NA,NA,"Anchorage, AK","Metropolitan Statistical Area","","","Anchorage Municipality","Alaska","Central",79951,79951,1,0.0125076609423272,3,0.0470327557014152
"37",37,2020,2017,5,1,21557,21575,18192,10718,7905,0.126502213788741,2,20,11260,NA,NA,"Anchorage, AK","Metropolitan Statistical Area","","","Anchorage Municipality","Alaska","Central",79952,79952,1,0.0125075045027016,3,0.0470327557014152
"38",38,2090,2017,3,1,7032,8430,5298,3172,2777,0.18875047187618,2,90,21820,NA,NA,"Fairbanks-College, AK","Metropolitan Statistical Area","","","Fairbanks North Star Borough","Alaska","Central",26712,26712,1,0.0374363581910752,1,0.0374363581910752
"39",39,2170,2017,3,1,7728,7489,9108,4825,2300,0.109793588054458,2,170,11260,NA,NA,"Anchorage, AK","Metropolitan Statistical Area","","","Matanuska-Susitna Borough","Alaska","Outlying",31453,31453,1,0.0317934696213398,3,0.0470327557014152
"40",40,4001,2017,1,1,4619,5688,5908,3564,2753,0.216497077289457,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22533,21905970,225,0.0102711726529343,1926,0.0623869277637532
"41",41,4001,2017,4,4,4619,5688,5908,3564,2753,1.12233445566779,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22536,33869885,568,0.0167700598924384,1926,0.0623869277637532
"42",42,4001,2017,5,1,4619,5688,5908,3564,2753,0.363240101707228,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22537,39914798,753,0.0188651837847206,1926,0.0623869277637532
"43",43,4005,2017,3,1,7632,5941,10460,5536,12351,0.0956022944550669,4,5,22380,NA,NA,"Flagstaff, AZ","Metropolitan Statistical Area","","","Coconino County","Arizona","Central",41923,41923,1,0.0238532547766143,3,0.0715580574372674
