"","year","AGE_CATEGORY","CBSA.Code","CBSA.Title","Metropolitan.Micropolitan.Statistical.Area","rate_cbsa_age","rate_cbsa"
"1",2017,4,11500,"Anniston-Oxford, AL","Metropolitan Statistical Area",0.0354057498937827,0.0354057498937827
"2",2017,3,18980,"Cullman, AL","Micropolitan Statistical Area",0.0505868069607446,0.101171054961176
"3",2017,4,18980,"Cullman, AL","Micropolitan Statistical Area",0.0505842480651525,0.101171054961176
"4",2017,2,22840,"Fort Payne, AL","Micropolitan Statistical Area",0.050978792822186,0.101949789728559
"5",2017,5,22840,"Fort Payne, AL","Micropolitan Statistical Area",0.0509709975024211,0.101949789728559
"6",2017,4,23460,"Gadsden, AL","Metropolitan Statistical Area",0.0401123144805455,0.120334529993382
"7",2017,5,23460,"Gadsden, AL","Metropolitan Statistical Area",0.0802214110946212,0.120334529993382
"8",2017,1,13820,"Birmingham, AL","Metropolitan Statistical Area",0.0211949725525105,0.108345426890011
"9",2017,2,13820,"Birmingham, AL","Metropolitan Statistical Area",0.011937447773666,0.108345426890011
"10",2017,4,13820,"Birmingham, AL","Metropolitan Statistical Area",0.0208996898486026,0.108345426890011
"11",2017,5,13820,"Birmingham, AL","Metropolitan Statistical Area",0.0423881482737427,0.108345426890011
"12",2017,4,26620,"Huntsville, AL","Metropolitan Statistical Area",0.0178549109932687,0.0595167241995001
"13",2017,5,26620,"Huntsville, AL","Metropolitan Statistical Area",0.0865988309157826,0.0595167241995001
"14",2017,1,26620,"Huntsville, AL","Metropolitan Statistical Area",0.0112464433123025,0.0595167241995001
"15",2017,4,26620,"Huntsville, AL","Metropolitan Statistical Area",0.0178549109932687,0.0595167241995001
"16",2017,5,10700,"Albertville, AL","Micropolitan Statistical Area",0.0752473757477708,0.0752473757477708
"17",2017,1,33660,"Mobile, AL","Metropolitan Statistical Area",0.00925557416954361,0.0647876699808645
"18",2017,3,33660,"Mobile, AL","Metropolitan Statistical Area",0.00925540284140867,0.0647876699808645
"19",2017,4,33660,"Mobile, AL","Metropolitan Statistical Area",0.0277659515391592,0.0647876699808645
"20",2017,5,33660,"Mobile, AL","Metropolitan Statistical Area",0.0185104630392329,0.0647876699808645
"21",2017,4,33860,"Montgomery, AL","Metropolitan Statistical Area",0.0165922779538403,0.0165922779538403
"22",2017,1,19460,"Decatur, AL","Metropolitan Statistical Area",0.0331729971802952,0.199024778584934
"23",2017,2,19460,"Decatur, AL","Metropolitan Statistical Area",0.0331718967690573,0.199024778584934
"24",2017,4,19460,"Decatur, AL","Metropolitan Statistical Area",0.0663393923311662,0.199024778584934
"25",2017,5,19460,"Decatur, AL","Metropolitan Statistical Area",0.0663371919466649,0.199024778584934
