"","YEAR","cbsa_code","cbsa_name","fatality_count","value","estimate","population","fatality_rate"
"1",2012,"12580","Baltimore-Columbia-Towson, MD",231,NA,2753149,2753149,8.39039223812442
"2",2012,"14460","Boston-Cambridge-Newton, MA-NH",238,NA,4640802,4640802,5.12842392327878
"3",2012,"16980","Chicago-Naperville-Elgin, IL-IN",496,NA,9522446,9522446,5.20874573612704
"4",2012,"31080","Los Angeles-Long Beach-Anaheim, CA",769,NA,NA,NA,NA
"5",2012,"35620","New York-Newark-Jersey City, NY-NJ",951,NA,19160024,19160024,4.96345933595908
"6",2012,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",456,NA,6018800,6018800,7.57626104871403
"7",2012,"38300","Pittsburgh, PA",239,NA,2360733,2360733,10.1239742063164
"8",2012,"41860","San Francisco-Oakland-Fremont, CA",210,NA,4455560,4455560,4.71321225614738
"9",2012,"42660","Seattle-Tacoma-Bellevue, WA",167,NA,3552157,3552157,4.70136877395903
"10",2012,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",333,NA,5804333,5804333,5.73709330598365
"11",2013,"12580","Baltimore-Columbia-Towson, MD",196,NA,2770738,2770738,7.07392759618557
"12",2013,"14460","Boston-Cambridge-Newton, MA-NH",218,NA,4684299,4684299,4.65384468412456
"13",2013,"16980","Chicago-Naperville-Elgin, IL-IN",514,NA,9537040,9537040,5.38951288869502
"14",2013,"31080","Los Angeles-Long Beach-Anaheim, CA",811,NA,13131431,13131431,6.17602148615791
"15",2013,"35620","New York-Newark-Jersey City, NY-NJ",921,NA,19949502,19949502,4.61665659623985
"16",2013,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",399,NA,6034678,6034678,6.61178608038407
"17",2013,"38300","Pittsburgh, PA",186,NA,2360867,2360867,7.87846159906509
"18",2013,"41860","San Francisco-Oakland-Fremont, CA",242,NA,4516276,4516276,5.35839705102168
"19",2013,"42660","Seattle-Tacoma-Bellevue, WA",154,NA,3610105,3610105,4.26580390321057
"20",2013,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",306,NA,5950214,5950214,5.14267217952161
"21",2014,"12580","Baltimore-Columbia-Towson, MD",178,NA,2785874,2785874,6.38937726544704
