"","YEAR","FIPS","NAME","fatality_count","population","fatality_rate","county_name"
"1",2012,"06037","Los Angeles County, California",616,9962789,6.18300758954144,"Los Angeles County,CA"
"2",2012,"06075","San Francisco County, California",30,825863,3.63256375452103,"San Francisco County,CA"
"3",2012,"11001","District of Columbia, District of Columbia",15,632323,2.37220534442049,"District of Columbia"
"4",2012,"17031","Cook County, Illinois",270,5231351,5.16119067521946,"Cook County,IL"
"5",2012,"24510","Baltimore city, Maryland",28,621342,4.50637491107957,"Baltimore City,MD"
"6",2012,"25025","Suffolk County, Massachusetts",29,744426,3.89561890637887,"Suffolk County,MA"
"7",2012,"36061","New York County, New York",44,1619090,2.71757592227733,"New York County,NY"
"8",2012,"42003","Allegheny County, Pennsylvania",67,1229338,5.45008777081649,"Allegheny County,PA"
"9",2012,"42101","Philadelphia County, Pennsylvania",107,1547607,6.91389997589827,"Philadelphia County,PA"
"10",2012,"53033","King County, Washington",90,2007440,4.48332204200375,"King County,WA"
"11",2013,"06037","Los Angeles County, California",625,10017068,6.23935067626575,"Los Angeles County,CA"
"12",2013,"06075","San Francisco County, California",35,837442,4.17939391623539,"San Francisco County,CA"
"13",2013,"11001","District of Columbia, District of Columbia",20,646449,3.0938248802303,"District of Columbia"
"14",2013,"17031","Cook County, Illinois",250,5240700,4.77035510523403,"Cook County,IL"
"15",2013,"24510","Baltimore city, Maryland",31,622104,4.98308964417525,"Baltimore City,MD"
"16",2013,"25025","Suffolk County, Massachusetts",23,755503,3.04432940703081,"Suffolk County,MA"
"17",2013,"36061","New York County, New York",45,1626159,2.76725707633755,"New York County,NY"
"18",2013,"42003","Allegheny County, Pennsylvania",65,1231527,5.27800040112803,"Allegheny County,PA"
"19",2013,"42101","Philadelphia County, Pennsylvania",89,1553165,5.73023471427698,"Philadelphia County,PA"
"20",2013,"53033","King County, Washington",80,2044449,3.91303475899863,"King County,WA"
"21",2014,"06037","Los Angeles County, California",639,10116705,6.31628578672601,"Los Angeles County,CA"
"22",2014,"06075","San Francisco County, California",33,852469,3.87110850951765,"San Francisco County,CA"
"23",2014,"11001","District of Columbia, District of Columbia",23,658893,3.49070334637035,"District of Columbia"
"24",2014,"17031","Cook County, Illinois",235,5246456,4.47921415904374,"Cook County,IL"
