CBSA Code,CBSA Title,AGE_CATEGORY,fatality_count,AGE0_4,AGE5_9,AGE10_14,AGE15_17,AGE18_19,rate
10180,"Abilene, TX",2,1,9957,8557,10457,5240,6191,0.11686338670094659
10180,"Abilene, TX",3,3,9957,8557,10457,5240,6191,0.28688916515252944
10300,"Adrian, MI",5,1,5337,5508,6343,3467,2984,0.3351206434316354
10420,"Akron, OH",4,1,29727,30526,32476,20397,13348,0.04902681766926509
10420,"Akron, OH",5,2,29727,30526,32476,20397,13348,0.1498351813005694
10460,"Alamogordo, NM",4,1,4054,5004,4131,2270,2265,0.4405286343612335
10500,"Albany, GA",3,1,5817,6515,5579,3310,5128,0.1792435920415845
10540,"Albany, OR",5,1,7457,7785,7662,5036,2466,0.40551500405515006
10580,"Albany-Schenectady-Troy, NY",4,2,23603,22268,27630,16353,18347,0.12230171833914265
10580,"Albany-Schenectady-Troy, NY",5,2,26764,25821,30426,19705,20126,0.09937394415184339
10740,"Albuquerque, NM",2,2,12312,14246,15695,9224,5293,0.14039028499227854
10740,"Albuquerque, NM",3,3,44864,44503,59759,31826,19165,0.05020164326712294
10740,"Albuquerque, NM",4,1,37141,36062,48647,25520,16302,0.03918495297805643
10740,"Albuquerque, NM",5,3,37141,36062,48647,25520,16302,0.1840264998159735
10780,"Alexandria, LA",2,1,8832,9564,8280,5367,3721,0.10455876202425762
10780,"Alexandria, LA",5,1,8832,9564,8280,5367,3721,0.26874496103198064
10900,"Allentown-Bethlehem-Easton, PA-NJ",1,1,3156,2231,4533,2312,1142,0.3168567807351077
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,1,14331,16684,18304,11605,10118,0.08616975441619991
10900,"Allentown-Bethlehem-Easton, PA-NJ",5,2,26536,28195,30867,18406,12107,0.16519368960105724
11100,"Amarillo, TX",1,1,9218,8962,9902,4713,2838,0.10848340203948796
11100,"Amarillo, TX",2,1,9218,8962,9902,4713,2838,0.1115822361080116
11100,"Amarillo, TX",3,1,9218,8962,9902,4713,2838,0.10098969905069682
11100,"Amarillo, TX",5,1,9218,8962,9902,4713,2838,0.3523608174770966
11200,"Amherst Town-Northampton, MA",3,1,5164,5337,7924,5143,13804,0.12619888944977284
11260,"Anchorage, AK",2,2,28386,28250,27212,16351,10574,0.07079646017699115
11260,"Anchorage, AK",5,1,20944,20451,18807,11136,7527,0.13285505513484788
11360,"Anderson Creek, NC",1,1,9796,10069,9652,5413,3532,0.10208248264597795
11360,"Anderson Creek, NC",4,2,9796,10069,9652,5413,3532,0.36948087936449286
11360,"Anderson Creek, NC",5,1,9796,10069,9652,5413,3532,0.28312570781426954
11460,"Ann Arbor, MI",5,1,17971,18186,20023,12755,20988,0.0476462740613684
11500,"Anniston-Oxford, AL",2,1,7142,7158,5968,4216,3170,0.13970382788488406
11500,"Anniston-Oxford, AL",5,2,7142,7158,5968,4216,3170,0.6309148264984228
11700,"Asheville, NC",4,1,12897,12581,13734,8364,5022,0.11956001912960307
11900,"Athens, OH",1,1,2511,1890,3522,1652,6634,0.39824771007566706
11980,"Athens, TX",1,1,4533,5002,5764,2376,2008,0.22060445621001543
11980,"Athens, TX",2,1,4533,5002,5764,2376,2008,0.19992003198720512
11980,"Athens, TX",4,1,4533,5002,5764,2376,2008,0.42087542087542085
11980,"Athens, TX",5,1,4533,5002,5764,2376,2008,0.49800796812749004
12060,"Atlanta-Sandy Springs-Roswell, GA",1,9,273812,287164,296338,179077,110273,0.03286926796488101
12060,"Atlanta-Sandy Springs-Roswell, GA",2,6,71787,71944,67304,40648,26928,0.08339819859891028
12060,"Atlanta-Sandy Springs-Roswell, GA",3,6,190372,198074,198342,121435,81316,0.030250778957558157
12060,"Atlanta-Sandy Springs-Roswell, GA",4,16,248083,256533,275544,163735,104158,0.09771887501145143
12060,"Atlanta-Sandy Springs-Roswell, GA",5,27,305715,322897,336914,205643,129463,0.2085537952928636
12100,"Atlantic City-Hammonton, NJ",2,1,14350,16128,15915,10029,6681,0.06200396825396825
12100,"Atlantic City-Hammonton, NJ",4,1,4071,3411,4346,2911,1252,0.3435245620061835
12180,"Auburn, NY",5,1,3951,4632,3874,2807,1804,0.5543237250554324
12220,"Auburn-Opelika, AL",5,2,8755,7948,13072,5020,9103,0.21970778864110735
12260,"Augusta-Richmond County, GA-SC",3,1,10778,9598,10201,6087,4965,0.09802960494069209
12260,"Augusta-Richmond County, GA-SC",4,1,9637,10299,12729,6481,4722,0.15429717636167256
12420,"Austin-Round Rock-San Marcos, TX",1,2,42755,46041,49548,29117,17831,0.04677815460180096
12420,"Austin-Round Rock-San Marcos, TX",2,2,42755,46041,49548,29117,17831,0.04343954301600747
12420,"Austin-Round Rock-San Marcos, TX",3,4,92387,87010,90524,50542,41717,0.04418717688126905
12420,"Austin-Round Rock-San Marcos, TX",4,6,121150,119208,125836,71802,49560,0.08356313194618534
12420,"Austin-Round Rock-San Marcos, TX",5,8,121150,119208,125836,71802,49560,0.16142050040355127
12540,"Bakersfield-Delano, CA",1,2,69712,66175,81427,41638,24591,0.028689465228368145
12540,"Bakersfield-Delano, CA",3,4,69712,66175,81427,41638,24591,0.049123755019833716
12540,"Bakersfield-Delano, CA",4,9,69712,66175,81427,41638,24591,0.21614871031269514
12540,"Bakersfield-Delano, CA",5,14,69712,66175,81427,41638,24591,0.569313976658127
