cbsa_code,cbsa_name,fatality_count,pop_under18,rate
10180,"Abilene, TX",8,138249,5.786660301340335
10420,"Akron, OH",14,395293,3.5416766803358524
10500,"Albany, GA",6,83248,7.207380357486066
10540,"Albany, OR",3,57416,5.225024383447122
10580,"Albany-Schenectady-Troy, NY",14,358622,3.9038318898450175
10740,"Albuquerque, NM",33,437359,7.545288881673866
10780,"Alexandria, LA",5,96497,5.181508233416583
10900,"Allentown-Bethlehem-Easton, PA-NJ",12,482994,2.4845029130796656
11100,"Amarillo, TX",16,227571,7.030772813759223
11180,"Ames, IA",1,15786,6.334726973267452
11200,"Amherst Town-Northampton, MA",1,23568,4.243041412084182
11260,"Anchorage, AK",8,266055,3.0068970701546673
11460,"Ann Arbor, MI",5,204254,2.4479324762305756
11500,"Anniston-Oxford, AL",6,99009,6.060055146501833
11540,"Appleton, WI",7,132009,5.302668757433206
11700,"Asheville, NC",5,138986,3.5974846387405925
12020,"Athens-Clarke County, GA",2,21278,9.399379640943698
12060,"Atlanta-Sandy Springs-Roswell, GA",174,3100533,5.61193833447346
12100,"Atlantic City-Hammonton, NJ",11,243024,4.526301929027586
12220,"Auburn-Opelika, AL",4,109230,3.6619976197015474
12260,"Augusta-Richmond County, GA-SC",18,195702,9.197657663181776
12420,"Austin-Round Rock-San Marcos, TX",68,1173753,5.793382423729694
12540,"Bakersfield-Delano, CA",52,1300680,3.997908786173386
12580,"Baltimore-Columbia-Towson, MD",50,883371,5.6601360017478495
12620,"Bangor, ME",3,80981,3.7045726775416457
12700,"Barnstable Town, MA",2,66193,3.021467526777756
12940,"Baton Rouge, LA",44,578557,7.605127930350855
12980,"Battle Creek, MI",2,60445,3.3087931177103154
13020,"Bay City, MI",4,60533,6.60796590289594
13140,"Beaumont-Port Arthur, TX",26,308013,8.441202157051812
13220,"Beckley, WV",1,15716,6.362942224484602
13380,"Bellingham, WA",3,130151,2.3050149441802215
13460,"Bend, OR",2,77302,2.5872551809784996
13740,"Billings, MT",10,152428,6.560474453512478
13780,"Binghamton, NY",4,73747,5.423949448791137
13820,"Birmingham, AL",37,560256,6.604123829106695
13900,"Bismarck, ND",1,23203,4.309787527474896
13980,"Blacksburg-Christiansburg-Radford, VA",4,43733,9.146411176914457
14010,"Bloomington, IL",5,110312,4.532598448038291
14020,"Bloomington, IN",2,45154,4.4292864419542015
14260,"Boise City, ID",21,463449,4.531242919932938
14460,"Boston-Cambridge-Newton, MA-NH",34,742043,4.5819447120988945
14500,"Boulder, CO",4,178002,2.2471657621824472
14540,"Bowling Green, KY",5,121607,4.111605417451298
14580,"Bozeman, MT",2,45252,4.419694157164324
14740,"Bremerton-Silverdale-Port Orchard, WA",5,164905,3.032048755343986
15180,"Brownsville-Harlingen, TX",16,630239,2.5387194381813885
15260,"Brunswick-St. Simons, GA",4,55901,7.155507057118835
15380,"Buffalo-Cheektowaga, NY",19,792870,2.3963575365444525
15500,"Burlington, NC",3,113834,2.6354164836516327
15540,"Burlington-South Burlington, VT",1,29165,3.4287673581347504
15940,"Canton-Massillon, OH",14,319726,4.378749304091628
15980,"Cape Coral-Fort Myers, FL",24,673362,3.5642046922754775
16020,"Cape Girardeau, MO-IL",3,17613,17.032873445750297
16220,"Casper, WY",7,38982,17.957005797547588
16300,"Cedar Rapids, IA",1,52337,1.9106941551865795
16540,"Chambersburg, PA",4,68231,5.862437894798552
16580,"Champaign-Urbana, IL",2,39831,5.021214631819437
16620,"Charleston, WV",6,178657,3.3583906591961132
16700,"Charleston-North Charleston, SC",26,352082,7.3846433501286635
16740,"Charlotte-Concord-Gastonia, NC-SC",85,1119022,7.595918578901934
16820,"Charlottesville, VA",1,21662,4.616378912381128
16860,"Chattanooga, TN-GA",12,260579,4.605129346570521
16940,"Cheyenne, WY",5,67654,7.390546013539479
16980,"Chicago-Naperville-Elgin, IL-IN",191,6416661,2.9766260053320566
17020,"Chico, CA",7,174247,4.017285806929244
17140,"Cincinnati, OH-KY-IN",59,927697,6.359835161696115
17300,"Clarksville, TN-KY",9,161947,5.55737370868247
17410,"Cleveland, OH",56,1196138,4.681734047409245
17420,"Cleveland, TN",2,47572,4.204153703859413
17660,"Coeur d'Alene, ID",2,36433,5.489528723959048
17820,"Colorado Springs, CO",25,855438,2.922479478349103
17860,"Columbia, MO",8,184441,4.337430397796585
17900,"Columbia, SC",27,420965,6.413834879384272
17980,"Columbus, GA-AL",6,197537,3.0374056505869786
18020,"Columbus, IN",5,59122,8.457088731774974
18140,"Columbus, OH",47,1640007,2.865841426286595
18580,"Corpus Christi, TX",18,302974,5.941103857096649
18700,"Corvallis, OR",3,29896,10.034787262510035
18880,"Crestview-Fort Walton Beach-Destin, FL",11,202487,5.4324475151491205
19100,"Dallas-Fort Worth-Arlington, TX",255,5855427,4.3549343199052775
19140,"Dalton, GA",4,53173,7.522614860925658
19300,"Daphne-Fairhope-Foley, AL",9,195957,4.592844348505029
19340,"Davenport-Moline-Rock Island, IA-IL",5,145635,3.4332406358361656
19430,"Dayton-Kettering-Beavercreek, OH",38,690986,5.499387831301937
19460,"Decatur, AL",8,110732,7.224650507531698
19500,"Decatur, IL",2,46212,4.327880204275946
19660,"Deltona-Daytona Beach-Ormond Beach, FL",34,488744,6.956607139934198
19740,"Denver-Aurora-Centennial, CO",72,1105469,6.513072732025954
19780,"Des Moines-West Des Moines, IA",18,604643,2.976963265927167
19820,"Detroit-Warren-Dearborn, MI",87,3075403,2.828897546110217
20100,"Dover, DE",6,126199,4.754395835149248
20220,"Dubuque, IA",3,42904,6.992355025172479
20260,"Duluth, MN-WI",6,113657,5.279041326095181
20500,"Durham-Chapel Hill, NC",8,143935,5.558064404071282
20740,"Eau Claire, WI",3,49812,6.022645145748013
20940,"El Centro, CA",7,204444,3.4239204867836666
21060,"Elizabethtown, KY",11,108231,10.163446701961545
21140,"Elkhart-Goshen, IN",15,225487,6.652268201714511
21300,"Elmira, NY",2,35799,5.586748233190871
21340,"El Paso, TX",19,1137974,1.669633928367432
21500,"Erie, PA",5,227546,2.1973578968648098
21660,"Eugene-Springfield, OR",8,274346,2.916025748507359
21780,"Evansville, IN",5,131948,3.7893715706187288
21820,"Fairbanks-College, AK",3,70266,4.26949022286739
22020,"Fargo, ND-MN",1,40263,2.4836698706008
22140,"Farmington, NM",6,97883,6.129767171010288
22180,"Fayetteville, NC",14,415082,3.372827537691348
22220,"Fayetteville-Springdale-Rogers, AR",10,320665,3.118519327023529
22380,"Flagstaff, AZ",18,143945,12.504776129771788
22420,"Flint, MI",10,365061,2.7392682318845343
22500,"Florence, SC",13,112171,11.58944825311355
22520,"Florence-Muscle Shoals, AL",7,73858,9.477646294240298
22540,"Fond du Lac, WI",1,21363,4.68099049758929
22660,"Fort Collins-Loveland, CO",8,274366,2.9158131838493104
22900,"Fort Smith, AR-OK",7,122135,5.731362836205838
23060,"Fort Wayne, IN",9,487305,1.846892603195124
23420,"Fresno, CA",58,1411153,4.110114211570255
23460,"Gadsden, AL",7,88667,7.894707162755028
23540,"Gainesville, FL",21,245731,8.54593030590361
23580,"Gainesville, GA",10,203369,4.91717026685483
23900,"Gettysburg, PA",7,81408,8.598663522012577
24020,"Glens Falls, NY",1,11067,9.03587241348152
24140,"Goldsboro, NC",8,113537,7.046161163321209
