"","cbsa_code","cbsa_name","fatality_count","pop_under18","rate"
"1",48680,"Wildwood-The Villages, FL",7,28673,24.4132110347714
"2",27060,"Ithaca, NY",5,27807,17.9810838997375
"3",16220,"Casper, WY",7,38982,17.9570057975476
"4",16020,"Cape Girardeau, MO-IL",3,17613,17.0328734457503
"5",41140,"St. Joseph, MO-KS",13,77694,16.7323088011944
"6",29020,"Kokomo, IN",6,36939,16.2429952083164
"7",48540,"Wheeling, WV-OH",2,12463,16.0475006017813
"8",24860,"Greenville-Anderson-Greer, SC",50,318659,15.6907540662589
"9",26380,"Houma-Bayou Cane-Thibodaux, LA",7,45781,15.2901858849741
"10",31860,"Mankato, MN",2,13595,14.7112909157779
"11",27180,"Jackson, TN",12,87823,13.6638466005488
"12",37140,"Paducah, KY-IL",6,44721,13.4165157308647
"13",22380,"Flagstaff, AZ",18,143945,12.5047761297718
"14",42680,"Sebastian-Vero Beach-West Vero Corridor, FL",3,25527,11.7522623104948
"15",22500,"Florence, SC",13,112171,11.5894482531136
"16",31740,"Manhattan, KS",4,35402,11.2987966781538
"17",42700,"Sebring, FL",8,71314,11.2179936618336
"18",24220,"Grand Forks, ND-MN",5,45149,11.0744424018251
"19",25980,"Hinesville, GA",2,18713,10.687757174157
"20",48900,"Wilmington, NC",13,125764,10.3368213479215
"21",25620,"Hattiesburg, MS",7,68240,10.2579132473623
"22",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",52,508286,10.2304608035633
"23",21060,"Elizabethtown, KY",11,108231,10.1634467019615
"24",30980,"Longview, TX",18,178334,10.0934202115132
"25",18700,"Corvallis, OR",3,29896,10.03478726251
"26",26980,"Iowa City, IA",3,30003,9.99900009999
"27",27900,"Joplin, MO-KS",6,60048,9.99200639488409
"28",25860,"Hickory-Lenoir-Morganton, NC",13,136612,9.51600152256024
"29",22520,"Florence-Muscle Shoals, AL",7,73858,9.4776462942403
"30",12020,"Athens-Clarke County, GA",2,21278,9.3993796409437
"31",27140,"Jackson, MS",25,267352,9.35096801220862
"32",45460,"Terre Haute, IN",4,42815,9.34252014480906
"33",49700,"Yuba City, CA",9,96837,9.2939682146287
"34",30140,"Lebanon, PA",6,64603,9.28749438880547
"35",12260,"Augusta-Richmond County, GA-SC",18,195702,9.19765766318178
"36",13980,"Blacksburg-Christiansburg-Radford, VA",4,43733,9.14641117691446
"37",45060,"Syracuse, NY",17,186661,9.10741933237259
"38",24020,"Glens Falls, NY",1,11067,9.03587241348152
"39",38540,"Pocatello, ID",6,66911,8.96713544858095
"40",45500,"Texarkana, TX-AR",6,66915,8.96659941717104
"41",29420,"Lake Havasu City-Kingman, AZ",16,178501,8.96353521829009
"42",24420,"Grants Pass, OR",3,33592,8.93069778518695
"43",33860,"Montgomery, AL",20,231709,8.63151625530299
"44",23900,"Gettysburg, PA",7,81408,8.59866352201258
"45",47020,"Victoria, TX",8,93275,8.57678906459394
"46",23540,"Gainesville, FL",21,245731,8.54593030590361
"47",30620,"Lima, OH",8,93845,8.5246949757579
"48",33140,"Michigan City-La Porte, IN",6,70584,8.50051003060184
"49",18020,"Columbus, IN",5,59122,8.45708873177497
"50",13140,"Beaumont-Port Arthur, TX",26,308013,8.44120215705181
