"","GEOID","year","AGE_CATEGORY","fatality_count","rate"
"1","01001",2010,6,3,NA
"2","01003",2010,4,4,0.567214974475326
"3","01003",2010,6,21,NA
"4","01005",2010,5,1,NA
"5","01005",2010,6,3,NA
"6","01007",2010,5,1,NA
"7","01007",2010,6,6,NA
"8","01009",2010,6,8,NA
"9","01011",2010,1,2,NA
"10","01011",2010,4,1,NA
"11","01011",2010,5,1,NA
"12","01011",2010,6,6,NA
"13","01013",2010,4,1,NA
"14","01013",2010,6,5,NA
"15","01015",2010,4,1,0.223663609930664
"16","01015",2010,6,14,NA
"17","01017",2010,5,2,NA
"18","01017",2010,6,6,NA
"19","01019",2010,6,8,NA
"20","01021",2010,5,1,NA
"21","01021",2010,6,7,NA
"22","01023",2010,2,1,NA
"23","01023",2010,6,5,NA
"24","01025",2010,2,1,NA
"25","01025",2010,6,9,NA
"26","01027",2010,1,1,NA
"27","01027",2010,6,4,NA
"28","01029",2010,6,4,NA
"29","01031",2010,6,7,NA
"30","01033",2010,6,7,NA
"31","01035",2010,6,9,NA
"32","01037",2010,3,1,NA
"33","01037",2010,4,1,NA
"34","01037",2010,6,5,NA
"35","01039",2010,2,1,NA
"36","01039",2010,5,1,NA
"37","01039",2010,6,7,NA
"38","01041",2010,6,4,NA
"39","01043",2010,2,2,0.407497962510187
"40","01043",2010,5,1,0.444642063139173
"41","01043",2010,6,14,NA
"42","01045",2010,1,1,NA
"43","01045",2010,4,1,NA
"44","01045",2010,5,2,NA
"45","01045",2010,6,5,NA
"46","01047",2010,6,7,NA
"47","01049",2010,2,1,0.186846038863976
"48","01049",2010,5,1,0.541125541125541
"49","01049",2010,6,10,NA
"50","01051",2010,5,2,1.22324159021407
"51","01051",2010,6,23,NA
"52","01053",2010,2,2,NA
"53","01053",2010,5,2,NA
"54","01053",2010,6,10,NA
"55","01055",2010,4,3,0.652315720808871
"56","01055",2010,5,1,0.315556958030925
"57","01055",2010,6,10,NA
"58","01057",2010,6,1,NA
"59","01059",2010,6,4,NA
"60","01061",2010,6,7,NA
"61","01063",2010,6,5,NA
"62","01065",2010,6,6,NA
"63","01067",2010,6,4,NA
"64","01069",2010,6,15,NA
"65","01071",2010,5,1,NA
"66","01071",2010,6,14,NA
"67","01073",2010,1,1,0.0228733502596125
"68","01073",2010,3,1,0.0248379324904995
"69","01073",2010,4,9,0.336700336700337
"70","01073",2010,5,8,0.451085424302227
"71","01073",2010,6,70,NA
"72","01075",2010,6,3,NA
"73","01077",2010,1,1,0.194552529182879
"74","01077",2010,2,1,0.143781452192667
