CBSA Code,CBSA Title,AGE_CATEGORY,fatality_count,AGE0_4,AGE5_9,AGE10_14,AGE15_17,AGE18_19,rate
10140,"Aberdeen, WA",5,1,3917,4577,3888,2638,1512,0.6613756613756614
10180,"Abilene, TX",2,1,9399,9429,9984,4894,3753,0.10605578534309046
10180,"Abilene, TX",4,1,9399,9429,9984,4894,3753,0.2043318348998774
10180,"Abilene, TX",5,1,9399,9429,9984,4894,3753,0.2664535038635758
10300,"Adrian, MI",1,1,5085,5576,6408,3785,2710,0.19665683382497542
10300,"Adrian, MI",4,1,5085,5576,6408,3785,2710,0.2642007926023778
10300,"Adrian, MI",5,1,5085,5576,6408,3785,2710,0.36900369003690037
10420,"Akron, OH",1,1,7054,9280,8316,6064,8463,0.14176353841791892
10420,"Akron, OH",3,2,29997,31257,32097,20756,12609,0.06231111941926036
10420,"Akron, OH",4,3,29997,31257,32097,20756,12609,0.14453651956060898
10420,"Akron, OH",5,1,29997,31257,32097,20756,12609,0.07930843048616068
10500,"Albany, GA",1,1,5991,6177,6013,3609,3757,0.1669170422300117
10500,"Albany, GA",4,1,5991,6177,6013,3609,3757,0.2770850651149903
10540,"Albany, OR",2,1,7619,8470,7583,4959,2356,0.1180637544273908
10540,"Albany, OR",5,1,7619,8470,7583,4959,2356,0.4244482173174873
10580,"Albany-Schenectady-Troy, NY",1,1,11340,13368,13063,8883,6014,0.08818342151675486
10580,"Albany-Schenectady-Troy, NY",4,4,34982,38030,38159,24233,26141,0.1650641686955804
10580,"Albany-Schenectady-Troy, NY",5,4,27085,29334,28930,18808,20159,0.19842254080063496
10700,"Albertville, AL",5,2,6267,6783,6777,3851,2896,0.6906077348066298
10740,"Albuquerque, NM",1,2,7801,9359,10198,6179,2918,0.25637738751442124
10740,"Albuquerque, NM",2,2,39144,37954,46751,25835,17548,0.052695368077146025
10740,"Albuquerque, NM",3,2,39144,37954,46751,25835,17548,0.04277983358644735
10740,"Albuquerque, NM",4,1,4064,4899,5604,3397,3600,0.2943773918163085
10740,"Albuquerque, NM",5,3,39144,37954,46751,25835,17548,0.17095965352176887
10780,"Alexandria, LA",3,1,9023,8539,9813,5566,3992,0.1019056353816366
10780,"Alexandria, LA",4,2,9023,8539,9813,5566,3992,0.35932446999640677
10780,"Alexandria, LA",5,1,9023,8539,9813,5566,3992,0.250501002004008
10900,"Allentown-Bethlehem-Easton, PA-NJ",1,1,20728,20257,27670,14592,10102,0.048243921265920496
10900,"Allentown-Bethlehem-Easton, PA-NJ",2,1,20728,20257,27670,14592,10102,0.049365651379769955
10900,"Allentown-Bethlehem-Easton, PA-NJ",3,1,14444,16542,18057,11598,10153,0.0553801849698178
10900,"Allentown-Bethlehem-Easton, PA-NJ",5,7,40044,42047,52426,30945,22675,0.308710033076075
11020,"Altoona, PA",5,2,6604,6361,7731,4651,2942,0.6798096532970768
11100,"Amarillo, TX",3,1,9688,9957,8222,5197,2793,0.12162490878131842
11100,"Amarillo, TX",4,2,9688,9957,8222,5197,2793,0.38483740619588225
11100,"Amarillo, TX",5,1,9688,9957,8222,5197,2793,0.35803795202291444
11260,"Anchorage, AK",3,1,7728,7489,9108,4825,2300,0.10979358805445763
11260,"Anchorage, AK",4,1,21557,21575,18192,10718,7905,0.09330098899048331
11260,"Anchorage, AK",5,1,21557,21575,18192,10718,7905,0.12650221378874132
11360,"Anderson Creek, NC",1,1,10104,9135,10956,4983,5218,0.09897070467141726
11360,"Anderson Creek, NC",2,1,10104,9135,10956,4983,5218,0.10946907498631638
11360,"Anderson Creek, NC",5,5,10104,9135,10956,4983,5218,0.9582215408202377
11460,"Ann Arbor, MI",4,1,18106,18670,19730,12204,22576,0.0819403474270731
11460,"Ann Arbor, MI",5,2,18106,18670,19730,12204,22576,0.08858965272856131
11500,"Anniston-Oxford, AL",4,1,6804,6294,7361,4541,3240,0.22021581149526537
11700,"Asheville, NC",3,2,12046,11478,15623,9168,5324,0.12801638609742047
11700,"Asheville, NC",5,4,17344,17754,22115,13398,8017,0.4989397530248223
11980,"Athens, TX",1,1,4887,4424,4798,3192,2102,0.20462451401677922
11980,"Athens, TX",4,1,4887,4424,4798,3192,2102,0.3132832080200501
11980,"Athens, TX",5,2,4887,4424,4798,3192,2102,0.9514747859181732
12020,"Athens-Clarke County, GA",5,1,6519,5647,6059,3731,12198,0.08198065256599443
12060,"Atlanta-Sandy Springs-Roswell, GA",1,7,192086,202218,218762,130097,75402,0.03644201034953094
12060,"Atlanta-Sandy Springs-Roswell, GA",2,5,164600,179433,189041,113514,68067,0.02786555427374006
12060,"Atlanta-Sandy Springs-Roswell, GA",3,5,82839,89208,88246,54723,38404,0.056659791945243974
12060,"Atlanta-Sandy Springs-Roswell, GA",4,21,227008,237429,253424,151486,93003,0.13862667177164886
12060,"Atlanta-Sandy Springs-Roswell, GA",5,29,309710,328333,347254,208761,125722,0.23066766357518972
12100,"Atlantic City-Hammonton, NJ",4,1,14901,16467,15981,10655,8582,0.09385265133740028
12180,"Auburn, NY",1,1,3527,4450,4022,3403,1588,0.28352707683583783
12260,"Augusta-Richmond County, GA-SC",1,1,9067,10517,11551,7700,4525,0.11029006286533584
12260,"Augusta-Richmond County, GA-SC",2,3,23319,24040,23128,12721,9279,0.12479201331114809
12260,"Augusta-Richmond County, GA-SC",4,3,23319,24040,23128,12721,9279,0.23583051646883108
12260,"Augusta-Richmond County, GA-SC",5,5,32386,34557,34679,20421,13804,0.36221385105766446
12300,"Augusta-Waterville, ME",4,2,6160,6074,6789,4695,3372,0.4259850905218317
12300,"Augusta-Waterville, ME",5,1,6160,6074,6789,4695,3372,0.2965599051008304
12420,"Austin-Round Rock-San Marcos, TX",1,3,115239,110737,121358,66657,45294,0.026032853461067866
12420,"Austin-Round Rock-San Marcos, TX",3,2,84923,79420,83071,46123,33972,0.02407579058877346
12420,"Austin-Round Rock-San Marcos, TX",4,9,128120,123140,137887,74925,55215,0.12012012012012012
12420,"Austin-Round Rock-San Marcos, TX",5,6,115239,110737,121358,66657,45294,0.13246787653993908
12540,"Bakersfield-Delano, CA",1,1,70378,74619,72566,41659,25746,0.014208985762596266
12540,"Bakersfield-Delano, CA",2,5,70378,74619,72566,41659,25746,0.06700706254439218
12540,"Bakersfield-Delano, CA",3,1,70378,74619,72566,41659,25746,0.01378055838822589
12540,"Bakersfield-Delano, CA",4,2,70378,74619,72566,41659,25746,0.04800883362538707
12540,"Bakersfield-Delano, CA",5,7,70378,74619,72566,41659,25746,0.2718868950516585
12580,"Baltimore-Columbia-Towson, MD",1,1,39078,34063,33793,19073,14661,0.025589845949127388
12580,"Baltimore-Columbia-Towson, MD",2,1,39078,34063,33793,19073,14661,0.0293573672313067
12580,"Baltimore-Columbia-Towson, MD",3,2,49222,46677,53447,30679,21982,0.03742024809624488
12580,"Baltimore-Columbia-Towson, MD",4,8,146047,142464,149673,88473,58399,0.09042306692437241
12580,"Baltimore-Columbia-Towson, MD",5,10,165280,165169,171626,102896,65064,0.15369482355834255
12620,"Bangor, ME",1,1,6913,7980,7380,5216,6241,0.14465499783017505
12620,"Bangor, ME",5,1,6913,7980,7380,5216,6241,0.1602307322544464
12940,"Baton Rouge, LA",1,3,38447,36641,39397,22810,19512,0.07802949514916639
12940,"Baton Rouge, LA",2,3,17838,20045,19160,11835,7623,0.14966325767024197
12940,"Baton Rouge, LA",3,3,38447,36641,39397,22810,19512,0.07614793004543492
12940,"Baton Rouge, LA",4,1,9739,9841,9918,6301,3464,0.15870496746548166
12940,"Baton Rouge, LA",5,5,36807,37004,38721,22043,20207,0.24743900628495077
12980,"Battle Creek, MI",5,1,8565,7925,8340,5817,3275,0.3053435114503817
13140,"Beaumont-Port Arthur, TX",2,1,5681,6278,5627,3640,2615,0.15928639694170119
13140,"Beaumont-Port Arthur, TX",3,3,17844,18499,15468,9663,7243,0.1939487975174554
13140,"Beaumont-Port Arthur, TX",4,1,17844,18499,15468,9663,7243,0.1034875297526648
13140,"Beaumont-Port Arthur, TX",5,3,17844,18499,15468,9663,7243,0.41419301394449815
13180,"Beaver Dam, WI",1,1,3688,4914,5709,3456,1608,0.27114967462039047
13180,"Beaver Dam, WI",2,1,3688,4914,5709,3456,1608,0.20350020350020348
13180,"Beaver Dam, WI",3,1,3688,4914,5709,3456,1608,0.17516202487300755
13180,"Beaver Dam, WI",5,1,3688,4914,5709,3456,1608,0.6218905472636815
13220,"Beckley, WV",5,1,4110,4304,4773,2536,995,1.0050251256281408
