"","...1","year","STATE","COUNTY","AGE_CATEGORY","fatality_count","GEOID","AGE0_4","AGE5_9","AGE10_14","AGE15_17","AGE18_19"
"1",1,2010,1,1,6,3,"01001",NA,NA,NA,NA,NA
"2",2,2010,1,3,4,4,"01003",10991,11338,12758,7052,4658
"3",3,2010,1,3,6,21,"01003",10991,11338,12758,7052,4658
"4",4,2010,1,5,5,1,"01005",NA,NA,NA,NA,NA
"5",5,2010,1,5,6,3,"01005",NA,NA,NA,NA,NA
"6",6,2010,1,7,5,1,"01007",NA,NA,NA,NA,NA
"7",7,2010,1,7,6,6,"01007",NA,NA,NA,NA,NA
"8",8,2010,1,9,6,8,"01009",NA,NA,NA,NA,NA
"9",9,2010,1,11,1,2,"01011",NA,NA,NA,NA,NA
"10",10,2010,1,11,4,1,"01011",NA,NA,NA,NA,NA
"11",11,2010,1,11,5,1,"01011",NA,NA,NA,NA,NA
"12",12,2010,1,11,6,6,"01011",NA,NA,NA,NA,NA
"13",13,2010,1,13,4,1,"01013",NA,NA,NA,NA,NA
"14",14,2010,1,13,6,5,"01013",NA,NA,NA,NA,NA
"15",15,2010,1,15,4,1,"01015",7381,6573,8536,4471,4580
"16",16,2010,1,15,6,14,"01015",7381,6573,8536,4471,4580
"17",17,2010,1,17,5,2,"01017",NA,NA,NA,NA,NA
"18",18,2010,1,17,6,6,"01017",NA,NA,NA,NA,NA
"19",19,2010,1,19,6,8,"01019",NA,NA,NA,NA,NA
"20",20,2010,1,21,5,1,"01021",NA,NA,NA,NA,NA
"21",21,2010,1,21,6,7,"01021",NA,NA,NA,NA,NA
"22",22,2010,1,23,2,1,"01023",NA,NA,NA,NA,NA
"23",23,2010,1,23,6,5,"01023",NA,NA,NA,NA,NA
"24",24,2010,1,25,2,1,"01025",NA,NA,NA,NA,NA
"25",25,2010,1,25,6,9,"01025",NA,NA,NA,NA,NA
"26",26,2010,1,27,1,1,"01027",NA,NA,NA,NA,NA
"27",27,2010,1,27,6,4,"01027",NA,NA,NA,NA,NA
"28",28,2010,1,29,6,4,"01029",NA,NA,NA,NA,NA
"29",29,2010,1,31,6,7,"01031",NA,NA,NA,NA,NA
"30",30,2010,1,33,6,7,"01033",NA,NA,NA,NA,NA
"31",31,2010,1,35,6,9,"01035",NA,NA,NA,NA,NA
"32",32,2010,1,37,3,1,"01037",NA,NA,NA,NA,NA
"33",33,2010,1,37,4,1,"01037",NA,NA,NA,NA,NA
"34",34,2010,1,37,6,5,"01037",NA,NA,NA,NA,NA
"35",35,2010,1,39,2,1,"01039",NA,NA,NA,NA,NA
"36",36,2010,1,39,5,1,"01039",NA,NA,NA,NA,NA
"37",37,2010,1,39,6,7,"01039",NA,NA,NA,NA,NA
"38",38,2010,1,41,6,4,"01041",NA,NA,NA,NA,NA
"39",39,2010,1,43,2,2,"01043",4817,4908,5857,3625,2249
"40",40,2010,1,43,5,1,"01043",4817,4908,5857,3625,2249
"41",41,2010,1,43,6,14,"01043",4817,4908,5857,3625,2249
"42",42,2010,1,45,1,1,"01045",NA,NA,NA,NA,NA
"43",43,2010,1,45,4,1,"01045",NA,NA,NA,NA,NA
"44",44,2010,1,45,5,2,"01045",NA,NA,NA,NA,NA
"45",45,2010,1,45,6,5,"01045",NA,NA,NA,NA,NA
"46",46,2010,1,47,6,7,"01047",NA,NA,NA,NA,NA
"47",47,2010,1,49,2,1,"01049",5011,5352,5352,2829,1848
