"GEOID","year","AGE0_4_MALE","AGE5_9_MALE","AGE10_14_MALE","AGE15_17_MALE","AGE18_19_MALE","AGE0_4_FEMALE","AGE5_9_FEMALE","AGE10_14_FEMALE","AGE15_17_FEMALE","AGE18_19_FEMALE","AGE0_4","AGE5_9","AGE10_14","AGE15_17","AGE18_19"
"01003",2010,5530,5374,6815,3762,2561,5461,5964,5943,3290,2097,10991,11338,12758,7052,4658
"01015",2010,3730,3668,3820,2031,2193,3651,2905,4716,2440,2387,7381,6573,8536,4471,4580
"01043",2010,2717,2264,3261,2087,1179,2100,2644,2596,1538,1070,4817,4908,5857,3625,2249
"01049",2010,2947,3457,2338,1442,878,2064,1895,3014,1387,970,5011,5352,5352,2829,1848
"01051",2010,2688,2396,2729,1856,624,2183,2700,2267,1518,1011,4871,5096,4996,3374,1635
"01055",2010,3044,3502,3472,2693,1501,2727,2813,3652,1906,1668,5771,6315,7124,4599,3169
"01069",2010,3405,3557,3680,2117,1220,3337,3424,3265,2127,1189,6742,6981,6945,4244,2409
"01073",2010,22142,21368,20578,13451,8797,21577,22031,19683,13279,8938,43719,43399,40261,26730,17735
"01077",2010,2355,3589,2013,1891,1245,2785,3366,2411,1774,1786,5140,6955,4424,3665,3031
"01081",2010,4742,4172,4457,2693,4000,4295,4210,4484,2600,3854,9037,8382,8941,5293,7854
"01083",2010,2773,3537,2495,1764,838,3004,2533,2384,1547,697,5777,6070,4879,3311,1535
"01089",2010,11256,11045,11543,7420,5382,9826,11542,10203,6845,4610,21082,22587,21746,14265,9992
"01095",2010,3301,3047,2926,2780,1073,3641,3268,3387,1605,939,6942,6315,6313,4385,2012
"01097",2010,14935,12790,16089,9186,5866,13610,13184,14268,9170,5921,28545,25974,30357,18356,11787
"01101",2010,7762,7088,7775,5114,3477,8081,8825,6453,4716,3710,15843,15913,14228,9830,7187
"01103",2010,3305,4174,4676,2804,2335,3596,3585,3987,2378,1440,6901,7759,8663,5182,3775
"01115",2010,2459,2898,2751,1956,777,3078,2284,2680,1747,632,5537,5182,5431,3703,1409
"01117",2010,6519,6824,7987,4140,2497,6647,6222,7638,4143,2501,13166,13046,15625,8283,4998
"01121",2010,2370,1892,3573,1435,1300,2446,2325,3185,1984,1066,4816,4217,6758,3419,2366
"01125",2010,6639,5574,6039,3412,5191,6155,5031,6288,3400,6038,12794,10605,12327,6812,11229
