"","GEOID","year","AGE_CATEGORY","fatality_count","AGE0_4","AGE5_9","AGE10_14","AGE15_17","AGE18_19","rate"
"1","01001",2010,6,3,NA,NA,NA,NA,NA,NA
"2","01003",2010,4,4,10991,11338,12758,7052,4658,0.567214974475326
"3","01003",2010,6,21,10991,11338,12758,7052,4658,NA
"4","01005",2010,5,1,NA,NA,NA,NA,NA,NA
"5","01005",2010,6,3,NA,NA,NA,NA,NA,NA
"6","01007",2010,5,1,NA,NA,NA,NA,NA,NA
"7","01007",2010,6,6,NA,NA,NA,NA,NA,NA
"8","01009",2010,6,8,NA,NA,NA,NA,NA,NA
"9","01011",2010,1,2,NA,NA,NA,NA,NA,NA
"10","01011",2010,4,1,NA,NA,NA,NA,NA,NA
"11","01011",2010,5,1,NA,NA,NA,NA,NA,NA
"12","01011",2010,6,6,NA,NA,NA,NA,NA,NA
"13","01013",2010,4,1,NA,NA,NA,NA,NA,NA
"14","01013",2010,6,5,NA,NA,NA,NA,NA,NA
"15","01015",2010,4,1,7381,6573,8536,4471,4580,0.223663609930664
"16","01015",2010,6,14,7381,6573,8536,4471,4580,NA
"17","01017",2010,5,2,NA,NA,NA,NA,NA,NA
"18","01017",2010,6,6,NA,NA,NA,NA,NA,NA
"19","01019",2010,6,8,NA,NA,NA,NA,NA,NA
"20","01021",2010,5,1,NA,NA,NA,NA,NA,NA
"21","01021",2010,6,7,NA,NA,NA,NA,NA,NA
"22","01023",2010,2,1,NA,NA,NA,NA,NA,NA
"23","01023",2010,6,5,NA,NA,NA,NA,NA,NA
"24","01025",2010,2,1,NA,NA,NA,NA,NA,NA
"25","01025",2010,6,9,NA,NA,NA,NA,NA,NA
"26","01027",2010,1,1,NA,NA,NA,NA,NA,NA
"27","01027",2010,6,4,NA,NA,NA,NA,NA,NA
"28","01029",2010,6,4,NA,NA,NA,NA,NA,NA
"29","01031",2010,6,7,NA,NA,NA,NA,NA,NA
"30","01033",2010,6,7,NA,NA,NA,NA,NA,NA
"31","01035",2010,6,9,NA,NA,NA,NA,NA,NA
"32","01037",2010,3,1,NA,NA,NA,NA,NA,NA
"33","01037",2010,4,1,NA,NA,NA,NA,NA,NA
"34","01037",2010,6,5,NA,NA,NA,NA,NA,NA
"35","01039",2010,2,1,NA,NA,NA,NA,NA,NA
"36","01039",2010,5,1,NA,NA,NA,NA,NA,NA
"37","01039",2010,6,7,NA,NA,NA,NA,NA,NA
"38","01041",2010,6,4,NA,NA,NA,NA,NA,NA
"39","01043",2010,2,2,4817,4908,5857,3625,2249,0.407497962510187
"40","01043",2010,5,1,4817,4908,5857,3625,2249,0.444642063139173
"41","01043",2010,6,14,4817,4908,5857,3625,2249,NA
"42","01045",2010,1,1,NA,NA,NA,NA,NA,NA
"43","01045",2010,4,1,NA,NA,NA,NA,NA,NA
"44","01045",2010,5,2,NA,NA,NA,NA,NA,NA
"45","01045",2010,6,5,NA,NA,NA,NA,NA,NA
"46","01047",2010,6,7,NA,NA,NA,NA,NA,NA
"47","01049",2010,2,1,5011,5352,5352,2829,1848,0.186846038863976
"48","01049",2010,5,1,5011,5352,5352,2829,1848,0.541125541125541
"49","01049",2010,6,10,5011,5352,5352,2829,1848,NA
"50","01051",2010,5,2,4871,5096,4996,3374,1635,1.22324159021407
"51","01051",2010,6,23,4871,5096,4996,3374,1635,NA
"52","01053",2010,2,2,NA,NA,NA,NA,NA,NA
"53","01053",2010,5,2,NA,NA,NA,NA,NA,NA
"54","01053",2010,6,10,NA,NA,NA,NA,NA,NA
"55","01055",2010,4,3,5771,6315,7124,4599,3169,0.652315720808871
"56","01055",2010,5,1,5771,6315,7124,4599,3169,0.315556958030925
"57","01055",2010,6,10,5771,6315,7124,4599,3169,NA
"58","01057",2010,6,1,NA,NA,NA,NA,NA,NA
"59","01059",2010,6,4,NA,NA,NA,NA,NA,NA
"60","01061",2010,6,7,NA,NA,NA,NA,NA,NA
"61","01063",2010,6,5,NA,NA,NA,NA,NA,NA
"62","01065",2010,6,6,NA,NA,NA,NA,NA,NA
"63","01067",2010,6,4,NA,NA,NA,NA,NA,NA
"64","01069",2010,6,15,6742,6981,6945,4244,2409,NA
"65","01071",2010,5,1,NA,NA,NA,NA,NA,NA
"66","01071",2010,6,14,NA,NA,NA,NA,NA,NA
"67","01073",2010,1,1,43719,43399,40261,26730,17735,0.0228733502596125
"68","01073",2010,3,1,43719,43399,40261,26730,17735,0.0248379324904995
"69","01073",2010,4,9,43719,43399,40261,26730,17735,0.336700336700337
"70","01073",2010,5,8,43719,43399,40261,26730,17735,0.451085424302227
