"cbsa","cbsa_name","age_group","PER_TYP","count"
"12060","Atlanta-Sandy Springs-Roswell, GA",1,1,17
"12060","Atlanta-Sandy Springs-Roswell, GA",1,2,24
"12060","Atlanta-Sandy Springs-Roswell, GA",1,5,13
"12060","Atlanta-Sandy Springs-Roswell, GA",1,6,5
"12060","Atlanta-Sandy Springs-Roswell, GA",1,8,1
"12060","Atlanta-Sandy Springs-Roswell, GA",1,10,1
"12060","Atlanta-Sandy Springs-Roswell, GA",2,1,29
"12060","Atlanta-Sandy Springs-Roswell, GA",2,2,28
"12060","Atlanta-Sandy Springs-Roswell, GA",2,3,3
"12060","Atlanta-Sandy Springs-Roswell, GA",2,5,27
"12060","Atlanta-Sandy Springs-Roswell, GA",2,6,16
"12060","Atlanta-Sandy Springs-Roswell, GA",2,8,6
"12060","Atlanta-Sandy Springs-Roswell, GA",2,10,3
"12060","Atlanta-Sandy Springs-Roswell, GA",2,11,3
"12060","Atlanta-Sandy Springs-Roswell, GA",2,12,3
"12060","Atlanta-Sandy Springs-Roswell, GA",2,13,2
"12540","Bakersfield-Delano, CA",1,1,1
"12540","Bakersfield-Delano, CA",1,2,1
"12540","Bakersfield-Delano, CA",1,3,1
"12540","Bakersfield-Delano, CA",1,5,1
"12540","Bakersfield-Delano, CA",1,6,1
"12540","Bakersfield-Delano, CA",1,8,1
"12540","Bakersfield-Delano, CA",2,1,1
"12540","Bakersfield-Delano, CA",2,2,1
"12540","Bakersfield-Delano, CA",2,3,1
"12540","Bakersfield-Delano, CA",2,5,1
"12540","Bakersfield-Delano, CA",2,6,1
"12540","Bakersfield-Delano, CA",2,8,1
"12540","Bakersfield-Delano, CA",2,9,1
"12540","Bakersfield-Delano, CA",2,12,1
"16980","Chicago-Naperville-Elgin, IL-IN",1,1,11
"16980","Chicago-Naperville-Elgin, IL-IN",1,2,11
"16980","Chicago-Naperville-Elgin, IL-IN",1,3,1
"16980","Chicago-Naperville-Elgin, IL-IN",1,5,6
"16980","Chicago-Naperville-Elgin, IL-IN",1,6,3
"16980","Chicago-Naperville-Elgin, IL-IN",1,8,1
"16980","Chicago-Naperville-Elgin, IL-IN",1,12,2
"16980","Chicago-Naperville-Elgin, IL-IN",2,1,13
"16980","Chicago-Naperville-Elgin, IL-IN",2,2,13
