"title","cbsa_code","total_fatalities","total_pop","fatality_rate"
"Atlanta-Sandy Springs-Roswell, GA",12060,3728,30219900,12.3362420127135
"Bakersfield-Delano, CA",12540,924,4523866,20.4250081677928
"Chicago-Naperville-Elgin, IL-IN",16980,3328,47442101,7.01486639472396
"Columbus, OH",18140,1011,10620065,9.51971574561926
"Dallas-Fort Worth-Arlington, TX",19100,3912,38217286,10.2362056792835
"Detroit-Warren-Dearborn, MI",19820,1782,21670039,8.22333545408017
"Fresno, CA",23420,1003,5011527,20.0138600470475
"Houston-Pasadena-The Woodlands, TX",26420,3663,35502910,10.3174641177301
"Indianapolis-Carmel-Greenwood, IN",26900,1119,10423690,10.7351619244241
"Jacksonville, FL",27260,1203,7912529,15.2037357461818
"Las Vegas-Henderson-North Las Vegas, NV",29820,1108,11317902,9.78980026510214
"Los Angeles-Long Beach-Anaheim, CA",31080,4967,65729867,7.55668652121265
"McAllen-Edinburg-Mission, TX",32580,303,4364030,6.94312367238539
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,3734,30755181,12.1410438130733
"Milwaukee-Waukesha, WI",33340,612,7853807,7.79239927846457
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,999,18254092,5.47274550824002
"New York-Newark-Jersey City, NY-NJ",35620,4256,98902862,4.30321217600356
"Orlando-Kissimmee-Sanford, FL",36740,1814,13147047,13.7977752722722
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2546,30764691,8.27572102056868
"Phoenix-Mesa-Chandler, AZ",38060,3039,24505258,12.4014201360377
"Riverside-San Bernardino-Ontario, CA",40140,3434,23174325,14.8181230737033
"Salt Lake City-Murray, UT",41620,431,6187593,6.96555187130117
"San Antonio-New Braunfels, TX",41700,1412,12800100,11.0311638190327
"San Diego-Chula Vista-Carlsbad, CA",41740,1360,16581656,8.20183460566303
"San Francisco-Oakland-Fremont, CA",41860,1279,23391507,5.46779649554003
"San Jose-Sunnyvale-Santa Clara, CA",41940,666,9878939,6.74161466125057
"Seattle-Tacoma-Bellevue, WA",42660,1204,19832055,6.0709795328825
"St. Louis, MO-IL",41180,1791,14019806,12.7747844727666
"Tampa-St. Petersburg-Clearwater, FL",45300,2399,15939137,15.0510030750096
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2009,31481128,6.38160106588303
