"","YEAR","STATE","COUNTY","AGE_CATEGORY","fatality_count","county_code"
"1","2010",1,1,6,3,"01001"
"2","2010",1,3,4,4,"01003"
"3","2010",1,3,6,21,"01003"
"4","2010",1,5,5,1,"01005"
"5","2010",1,5,6,3,"01005"
"6","2010",1,7,5,1,"01007"
"7","2010",1,7,6,6,"01007"
"8","2010",1,9,6,8,"01009"
"9","2010",1,11,1,2,"01011"
"10","2010",1,11,4,1,"01011"
"11","2010",1,11,5,1,"01011"
"12","2010",1,11,6,6,"01011"
"13","2010",1,13,4,1,"01013"
"14","2010",1,13,6,5,"01013"
"15","2010",1,15,4,1,"01015"
"16","2010",1,15,6,14,"01015"
"17","2010",1,17,5,2,"01017"
"18","2010",1,17,6,6,"01017"
"19","2010",1,19,6,8,"01019"
"20","2010",1,21,5,1,"01021"
"21","2010",1,21,6,7,"01021"
"22","2010",1,23,2,1,"01023"
"23","2010",1,23,6,5,"01023"
"24","2010",1,25,2,1,"01025"
"25","2010",1,25,6,9,"01025"
"26","2010",1,27,1,1,"01027"
"27","2010",1,27,6,4,"01027"
"28","2010",1,29,6,4,"01029"
"29","2010",1,31,6,7,"01031"
"30","2010",1,33,6,7,"01033"
"31","2010",1,35,6,9,"01035"
"32","2010",1,37,3,1,"01037"
"33","2010",1,37,4,1,"01037"
"34","2010",1,37,6,5,"01037"
"35","2010",1,39,2,1,"01039"
"36","2010",1,39,5,1,"01039"
"37","2010",1,39,6,7,"01039"
"38","2010",1,41,6,4,"01041"
"39","2010",1,43,2,2,"01043"
"40","2010",1,43,5,1,"01043"
"41","2010",1,43,6,14,"01043"
"42","2010",1,45,1,1,"01045"
"43","2010",1,45,4,1,"01045"
"44","2010",1,45,5,2,"01045"
"45","2010",1,45,6,5,"01045"
"46","2010",1,47,6,7,"01047"
"47","2010",1,49,2,1,"01049"
"48","2010",1,49,5,1,"01049"
"49","2010",1,49,6,10,"01049"
"50","2010",1,51,5,2,"01051"
"51","2010",1,51,6,23,"01051"
"52","2010",1,53,2,2,"01053"
"53","2010",1,53,5,2,"01053"
"54","2010",1,53,6,10,"01053"
"55","2010",1,55,4,3,"01055"
"56","2010",1,55,5,1,"01055"
"57","2010",1,55,6,10,"01055"
"58","2010",1,57,6,1,"01057"
"59","2010",1,59,6,4,"01059"
"60","2010",1,61,6,7,"01061"
"61","2010",1,63,6,5,"01063"
"62","2010",1,65,6,6,"01065"
"63","2010",1,67,6,4,"01067"
"64","2010",1,69,6,15,"01069"
"65","2010",1,71,5,1,"01071"
"66","2010",1,71,6,14,"01071"
"67","2010",1,73,1,1,"01073"
"68","2010",1,73,3,1,"01073"
"69","2010",1,73,4,9,"01073"
"70","2010",1,73,5,8,"01073"
"71","2010",1,73,6,70,"01073"
"72","2010",1,75,6,3,"01075"
"73","2010",1,77,1,1,"01077"
"74","2010",1,77,2,1,"01077"
"75","2010",1,77,4,1,"01077"
"76","2010",1,77,5,1,"01077"
"77","2010",1,77,6,10,"01077"
"78","2010",1,79,6,12,"01079"
"79","2010",1,81,2,1,"01081"
"80","2010",1,81,3,2,"01081"
"81","2010",1,81,4,1,"01081"
"82","2010",1,81,5,1,"01081"
"83","2010",1,81,6,18,"01081"
"84","2010",1,81,7,1,"01081"
"85","2010",1,83,4,3,"01083"
"86","2010",1,83,5,2,"01083"
"87","2010",1,83,6,16,"01083"
"88","2010",1,83,7,1,"01083"
"89","2010",1,85,5,2,"01085"
"90","2010",1,85,6,5,"01085"
"91","2010",1,87,5,1,"01087"
"92","2010",1,87,6,7,"01087"
"93","2010",1,89,3,1,"01089"
"94","2010",1,89,4,1,"01089"
"95","2010",1,89,6,31,"01089"
"96","2010",1,91,6,7,"01091"
"97","2010",1,93,6,4,"01093"
"98","2010",1,95,1,1,"01095"
"99","2010",1,95,4,1,"01095"
"100","2010",1,95,5,2,"01095"
"101","2010",1,95,6,19,"01095"
"102","2010",1,97,1,2,"01097"
"103","2010",1,97,2,2,"01097"
"104","2010",1,97,4,1,"01097"
"105","2010",1,97,5,6,"01097"
"106","2010",1,97,6,58,"01097"
"107","2010",1,99,6,7,"01099"
"108","2010",1,101,4,2,"01101"
"109","2010",1,101,6,15,"01101"
"110","2010",1,103,6,13,"01103"
"111","2010",1,105,6,2,"01105"
"112","2010",1,107,6,2,"01107"
"113","2010",1,109,3,1,"01109"
"114","2010",1,109,4,1,"01109"
"115","2010",1,109,5,2,"01109"
"116","2010",1,109,6,5,"01109"
"117","2010",1,111,6,6,"01111"
"118","2010",1,113,4,1,"01113"
"119","2010",1,113,6,17,"01113"
"120","2010",1,115,2,1,"01115"
"121","2010",1,115,3,1,"01115"
"122","2010",1,115,4,2,"01115"
"123","2010",1,115,6,19,"01115"
"124","2010",1,117,2,3,"01117"
"125","2010",1,117,3,1,"01117"
"126","2010",1,117,4,1,"01117"
"127","2010",1,117,5,2,"01117"
"128","2010",1,117,6,16,"01117"
"129","2010",1,119,4,1,"01119"
"130","2010",1,119,6,3,"01119"
"131","2010",1,121,4,1,"01121"
"132","2010",1,121,5,4,"01121"
"133","2010",1,121,6,11,"01121"
"134","2010",1,123,2,1,"01123"
"135","2010",1,123,6,4,"01123"
"136","2010",1,125,1,2,"01125"
"137","2010",1,125,2,1,"01125"
"138","2010",1,125,4,1,"01125"
"139","2010",1,125,5,1,"01125"
"140","2010",1,125,6,30,"01125"
"141","2010",1,127,2,1,"01127"
"142","2010",1,127,4,1,"01127"
"143","2010",1,127,6,23,"01127"
"144","2010",1,129,3,1,"01129"
"145","2010",1,129,6,4,"01129"
"146","2010",1,131,6,4,"01131"
"147","2010",1,133,6,8,"01133"
"148","2010",2,20,2,1,"02020"
"149","2010",2,20,6,11,"02020"
"150","2010",2,68,5,1,"02068"
"151","2010",2,90,3,1,"02090"
"152","2010",2,90,5,1,"02090"
"153","2010",2,90,6,11,"02090"
"154","2010",2,110,5,1,"02110"
"155","2010",2,122,3,1,"02122"
"156","2010",2,122,6,7,"02122"
"157","2010",2,130,6,1,"02130"
"158","2010",2,150,5,1,"02150"
"159","2010",2,170,3,1,"02170"
"160","2010",2,170,4,2,"02170"
"161","2010",2,170,6,11,"02170"
"162","2010",2,201,6,1,"02201"
"163","2010",2,240,6,2,"02240"
"164","2010",2,290,6,2,"02290"
"165","2010",4,1,4,1,"04001"
"166","2010",4,1,5,3,"04001"
"167","2010",4,1,6,32,"04001"
"168","2010",4,3,6,23,"04003"
"169","2010",4,5,1,2,"04005"
"170","2010",4,5,2,1,"04005"
"171","2010",4,5,4,1,"04005"
"172","2010",4,5,5,2,"04005"
"173","2010",4,5,6,40,"04005"
"174","2010",4,7,4,1,"04007"
"175","2010",4,7,5,2,"04007"
"176","2010",4,7,6,11,"04007"
"177","2010",4,9,6,5,"04009"
"178","2010",4,11,1,1,"04011"
"179","2010",4,11,6,3,"04011"
"180","2010",4,12,6,7,"04012"
"181","2010",4,13,1,7,"04013"
"182","2010",4,13,2,5,"04013"
"183","2010",4,13,3,8,"04013"
"184","2010",4,13,4,6,"04013"
"185","2010",4,13,5,15,"04013"
"186","2010",4,13,6,269,"04013"
"187","2010",4,15,3,1,"04015"
"188","2010",4,15,4,2,"04015"
"189","2010",4,15,5,1,"04015"
"190","2010",4,15,6,43,"04015"
"191","2010",4,15,7,1,"04015"
"192","2010",4,17,1,1,"04017"
"193","2010",4,17,3,2,"04017"
"194","2010",4,17,5,1,"04017"
"195","2010",4,17,6,28,"04017"
"196","2010",4,19,1,1,"04019"
"197","2010",4,19,3,2,"04019"
"198","2010",4,19,4,4,"04019"
"199","2010",4,19,5,1,"04019"
"200","2010",4,19,6,97,"04019"
"201","2010",4,21,1,1,"04021"
"202","2010",4,21,4,1,"04021"
"203","2010",4,21,5,2,"04021"
"204","2010",4,21,6,58,"04021"
"205","2010",4,21,7,1,"04021"
"206","2010",4,23,6,7,"04023"
"207","2010",4,25,5,1,"04025"
"208","2010",4,25,6,43,"04025"
"209","2010",4,27,6,15,"04027"
"210","2010",5,1,5,2,"05001"
"211","2010",5,1,6,3,"05001"
"212","2010",5,3,6,3,"05003"
"213","2010",5,5,6,7,"05005"
"214","2010",5,7,4,1,"05007"
"215","2010",5,7,5,1,"05007"
"216","2010",5,7,6,26,"05007"
"217","2010",5,9,5,1,"05009"
"218","2010",5,9,6,5,"05009"
"219","2010",5,11,6,2,"05011"
"220","2010",5,13,1,1,"05013"
"221","2010",5,13,5,1,"05013"
"222","2010",5,13,6,1,"05013"
"223","2010",5,15,2,1,"05015"
"224","2010",5,15,6,10,"05015"
"225","2010",5,17,6,2,"05017"
"226","2010",5,19,2,1,"05019"
"227","2010",5,19,3,1,"05019"
"228","2010",5,19,6,7,"05019"
"229","2010",5,21,6,5,"05021"
"230","2010",5,23,6,6,"05023"
"231","2010",5,25,1,1,"05025"
"232","2010",5,25,6,3,"05025"
"233","2010",5,27,6,6,"05027"
"234","2010",5,29,5,1,"05029"
"235","2010",5,29,6,8,"05029"
"236","2010",5,31,2,1,"05031"
"237","2010",5,31,6,16,"05031"
"238","2010",5,33,6,4,"05033"
"239","2010",5,35,5,1,"05035"
"240","2010",5,35,6,10,"05035"
"241","2010",5,37,4,1,"05037"
"242","2010",5,37,6,5,"05037"
"243","2010",5,39,6,1,"05039"
"244","2010",5,41,5,2,"05041"
"245","2010",5,41,6,4,"05041"
"246","2010",5,43,5,1,"05043"
"247","2010",5,43,6,1,"05043"
"248","2010",5,45,3,1,"05045"
"249","2010",5,45,4,2,"05045"
"250","2010",5,45,6,17,"05045"
"251","2010",5,47,6,1,"05047"
"252","2010",5,49,6,2,"05049"
"253","2010",5,51,5,1,"05051"
"254","2010",5,51,6,13,"05051"
"255","2010",5,53,4,1,"05053"
"256","2010",5,53,6,6,"05053"
"257","2010",5,55,4,1,"05055"
"258","2010",5,55,5,2,"05055"
"259","2010",5,55,6,8,"05055"
"260","2010",5,57,4,1,"05057"
"261","2010",5,57,6,9,"05057"
"262","2010",5,59,5,1,"05059"
"263","2010",5,59,6,11,"05059"
"264","2010",5,61,6,4,"05061"
"265","2010",5,63,4,1,"05063"
"266","2010",5,63,6,9,"05063"
"267","2010",5,65,6,2,"05065"
"268","2010",5,67,6,4,"05067"
"269","2010",5,69,5,2,"05069"
"270","2010",5,69,6,8,"05069"
"271","2010",5,71,6,2,"05071"
"272","2010",5,73,6,7,"05073"
"273","2010",5,75,6,4,"05075"
"274","2010",5,77,5,1,"05077"
"275","2010",5,77,6,5,"05077"
"276","2010",5,79,5,2,"05079"
"277","2010",5,79,6,2,"05079"
"278","2010",5,81,6,1,"05081"
"279","2010",5,83,6,6,"05083"
"280","2010",5,85,6,8,"05085"
"281","2010",5,87,1,1,"05087"
"282","2010",5,87,6,3,"05087"
"283","2010",5,89,6,5,"05089"
"284","2010",5,91,6,6,"05091"
"285","2010",5,93,4,1,"05093"
"286","2010",5,93,5,1,"05093"
"287","2010",5,93,6,11,"05093"
"288","2010",5,95,4,2,"05095"
"289","2010",5,95,6,5,"05095"
"290","2010",5,97,5,1,"05097"
"291","2010",5,97,6,1,"05097"
"292","2010",5,99,6,5,"05099"
"293","2010",5,101,6,4,"05101"
"294","2010",5,103,4,1,"05103"
"295","2010",5,103,6,7,"05103"
"296","2010",5,105,6,6,"05105"
"297","2010",5,107,6,2,"05107"
"298","2010",5,109,6,1,"05109"
"299","2010",5,111,6,3,"05111"
"300","2010",5,113,6,8,"05113"
"301","2010",5,115,5,2,"05115"
"302","2010",5,115,6,14,"05115"
"303","2010",5,117,6,6,"05117"
"304","2010",5,119,3,2,"05119"
"305","2010",5,119,6,45,"05119"
"306","2010",5,121,6,4,"05121"
"307","2010",5,123,6,10,"05123"
"308","2010",5,125,6,15,"05125"
"309","2010",5,127,6,7,"05127"
"310","2010",5,129,6,2,"05129"
"311","2010",5,131,2,1,"05131"
"312","2010",5,131,5,1,"05131"
"313","2010",5,131,6,12,"05131"
"314","2010",5,133,6,3,"05133"
"315","2010",5,135,5,2,"05135"
"316","2010",5,135,6,4,"05135"
"317","2010",5,137,4,1,"05137"
"318","2010",5,137,6,6,"05137"
"319","2010",5,139,4,1,"05139"
"320","2010",5,139,6,7,"05139"
"321","2010",5,141,6,10,"05141"
"322","2010",5,143,6,17,"05143"
"323","2010",5,145,2,1,"05145"
"324","2010",5,145,4,1,"05145"
"325","2010",5,145,6,12,"05145"
"326","2010",5,147,6,3,"05147"
"327","2010",5,149,1,2,"05149"
"328","2010",5,149,4,1,"05149"
"329","2010",5,149,5,2,"05149"
"330","2010",5,149,6,5,"05149"
"331","2010",6,1,2,1,"06001"
"332","2010",6,1,3,1,"06001"
"333","2010",6,1,5,3,"06001"
"334","2010",6,1,6,58,"06001"
"335","2010",6,3,6,1,"06003"
"336","2010",6,5,6,7,"06005"
"337","2010",6,7,2,1,"06007"
"338","2010",6,7,5,3,"06007"
"339","2010",6,7,6,42,"06007"
"340","2010",6,9,6,12,"06009"
"341","2010",6,11,6,6,"06011"
"342","2010",6,13,4,1,"06013"
"343","2010",6,13,5,3,"06013"
"344","2010",6,13,6,38,"06013"
"345","2010",6,15,6,7,"06015"
"346","2010",6,17,6,17,"06017"
"347","2010",6,19,1,2,"06019"
"348","2010",6,19,2,2,"06019"
"349","2010",6,19,3,2,"06019"
"350","2010",6,19,4,2,"06019"
"351","2010",6,19,5,5,"06019"
"352","2010",6,19,6,97,"06019"
"353","2010",6,19,7,2,"06019"
"354","2010",6,21,4,1,"06021"
"355","2010",6,21,6,6,"06021"
"356","2010",6,23,6,15,"06023"
"357","2010",6,25,4,2,"06025"
"358","2010",6,25,5,2,"06025"
"359","2010",6,25,6,29,"06025"
"360","2010",6,27,4,1,"06027"
"361","2010",6,27,5,1,"06027"
"362","2010",6,27,6,6,"06027"
"363","2010",6,29,2,1,"06029"
"364","2010",6,29,3,2,"06029"
"365","2010",6,29,4,5,"06029"
"366","2010",6,29,5,5,"06029"
"367","2010",6,29,6,94,"06029"
"368","2010",6,29,7,1,"06029"
"369","2010",6,31,3,1,"06031"
"370","2010",6,31,5,1,"06031"
"371","2010",6,31,6,22,"06031"
"372","2010",6,33,6,16,"06033"
"373","2010",6,35,5,1,"06035"
"374","2010",6,35,6,8,"06035"
"375","2010",6,37,1,2,"06037"
"376","2010",6,37,2,9,"06037"
"377","2010",6,37,3,5,"06037"
"378","2010",6,37,4,12,"06037"
"379","2010",6,37,5,28,"06037"
"380","2010",6,37,6,506,"06037"
"381","2010",6,37,7,2,"06037"
"382","2010",6,39,1,2,"06039"
"383","2010",6,39,2,2,"06039"
"384","2010",6,39,3,1,"06039"
"385","2010",6,39,6,21,"06039"
"386","2010",6,41,4,1,"06041"
"387","2010",6,41,6,1,"06041"
"388","2010",6,43,6,7,"06043"
"389","2010",6,45,4,1,"06045"
"390","2010",6,45,6,17,"06045"
"391","2010",6,47,2,3,"06047"
"392","2010",6,47,3,1,"06047"
"393","2010",6,47,5,2,"06047"
"394","2010",6,47,6,25,"06047"
"395","2010",6,49,3,1,"06049"
"396","2010",6,49,6,1,"06049"
"397","2010",6,51,6,6,"06051"
"398","2010",6,53,1,1,"06053"
"399","2010",6,53,2,1,"06053"
"400","2010",6,53,4,2,"06053"
"401","2010",6,53,5,4,"06053"
"402","2010",6,53,6,28,"06053"
"403","2010",6,55,4,1,"06055"
"404","2010",6,55,5,1,"06055"
"405","2010",6,55,6,9,"06055"
"406","2010",6,57,6,10,"06057"
"407","2010",6,59,1,3,"06059"
"408","2010",6,59,2,1,"06059"
"409","2010",6,59,4,3,"06059"
"410","2010",6,59,5,3,"06059"
"411","2010",6,59,6,95,"06059"
"412","2010",6,61,5,3,"06061"
"413","2010",6,61,6,21,"06061"
"414","2010",6,63,6,4,"06063"
"415","2010",6,65,1,2,"06065"
"416","2010",6,65,2,2,"06065"
"417","2010",6,65,3,4,"06065"
"418","2010",6,65,4,2,"06065"
"419","2010",6,65,5,8,"06065"
"420","2010",6,65,6,185,"06065"
"421","2010",6,67,1,2,"06067"
"422","2010",6,67,5,11,"06067"
"423","2010",6,67,6,110,"06067"
"424","2010",6,69,6,4,"06069"
"425","2010",6,71,1,3,"06071"
"426","2010",6,71,3,2,"06071"
"427","2010",6,71,4,6,"06071"
"428","2010",6,71,5,7,"06071"
"429","2010",6,71,6,202,"06071"
"430","2010",6,73,1,3,"06073"
"431","2010",6,73,2,2,"06073"
"432","2010",6,73,3,1,"06073"
"433","2010",6,73,4,7,"06073"
"434","2010",6,73,5,9,"06073"
"435","2010",6,73,6,164,"06073"
"436","2010",6,75,5,4,"06075"
"437","2010",6,75,6,27,"06075"
"438","2010",6,77,1,1,"06077"
"439","2010",6,77,3,2,"06077"
"440","2010",6,77,4,3,"06077"
"441","2010",6,77,5,6,"06077"
"442","2010",6,77,6,69,"06077"
"443","2010",6,79,5,1,"06079"
"444","2010",6,79,6,16,"06079"
"445","2010",6,81,5,1,"06081"
"446","2010",6,81,6,17,"06081"
"447","2010",6,81,7,1,"06081"
"448","2010",6,83,2,1,"06083"
"449","2010",6,83,3,1,"06083"
"450","2010",6,83,6,30,"06083"
"451","2010",6,85,1,1,"06085"
"452","2010",6,85,4,3,"06085"
"453","2010",6,85,5,3,"06085"
"454","2010",6,85,6,77,"06085"
"455","2010",6,87,6,12,"06087"
"456","2010",6,89,5,3,"06089"
"457","2010",6,89,6,15,"06089"
"458","2010",6,91,6,3,"06091"
"459","2010",6,93,6,7,"06093"
"460","2010",6,93,7,1,"06093"
"461","2010",6,95,2,1,"06095"
"462","2010",6,95,3,1,"06095"
"463","2010",6,95,5,1,"06095"
"464","2010",6,95,6,25,"06095"
"465","2010",6,97,1,1,"06097"
"466","2010",6,97,4,1,"06097"
"467","2010",6,97,5,1,"06097"
"468","2010",6,97,6,35,"06097"
"469","2010",6,99,3,1,"06099"
"470","2010",6,99,4,5,"06099"
"471","2010",6,99,5,3,"06099"
"472","2010",6,99,6,41,"06099"
"473","2010",6,101,5,1,"06101"
"474","2010",6,101,6,12,"06101"
"475","2010",6,103,6,13,"06103"
"476","2010",6,105,4,1,"06105"
